"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"08/09/2026","X002IJ59XH","B0GN2SM73G","6027SKDBLACK-M","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","DEL5"
"08/09/2026","X002IJ59XH","B0GN2SM73G","6027SKDBLACK-M","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"08/09/2026","X002IJ59XH","B0GN2SM73G","6027SKDBLACK-M","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","ZNNE"
"08/09/2026","X002IJ71VP","B0GN2SRRF2","6027SKDBLACK-L","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","AMD2"
"08/09/2026","X002IJ71VP","B0GN2SRRF2","6027SKDBLACK-L","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","DEL5"
"08/09/2026","X002IJ71VP","B0GN2SRRF2","6027SKDBLACK-L","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","5","0","0","0","0","0","0","0","0","0","0","0","5","0","ZNNE"
"08/09/2026","X002IJ87A9","B0GN344JKM","6027SKDBLACK-XXL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","AMD2"
"08/09/2026","X002IJ87A9","B0GN344JKM","6027SKDBLACK-XXL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","3","0","0","-1","0","0","0","0","0","0","0","0","2","0","BLR7"
"08/09/2026","X002IJ87A9","B0GN344JKM","6027SKDBLACK-XXL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","5","0","0","0","0","0","0","0","0","0","0","0","5","0","ZNNE"
"08/09/2026","X002IJ87AT","B0GN2DL2FT","6027SKDBLACK-3XL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","HYD8"
"08/09/2026","X002IJ87AT","B0GN2DL2FT","6027SKDBLACK-3XL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","ZNNE"
"08/09/2026","X002IJ9FOV","B0GN34KWLN","6027SKDBLACK-4XL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","GAX1"
"08/09/2026","X002IJ9FOV","B0GN34KWLN","6027SKDBLACK-4XL","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","ZNNE"
"08/09/2026","X002IJ9LBD","B0GN2WVN48","6027SKDBLACK-S","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL5"
"08/09/2026","X002IJ9LBD","B0GN2WVN48","6027SKDBLACK-S","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"08/09/2026","X002IJ9LBD","B0GN2WVN48","6027SKDBLACK-S","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","MAA4"
"08/09/2026","X002IJ9LBD","B0GN2WVN48","6027SKDBLACK-S","Yash Gallery Women’s Pure Cotton White Floral Rubber Print A-line Kurta Pant Set with Dupatta with Fancy Front Buttons, One Side Functional Pocket (Black)","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","ZNNE"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","0","3","3","0","0","0","-3","0","0","0","0","0","0","0","DED5"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","LKO1"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","MAA4"
"08/09/2026","X002IR7Q6R","B0GPQ3JPDJ","6020SKDOFFWHITE-5XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","ZNNE"
"08/09/2026","X002IRDSOL","B0GPQ4B7XH","6020SKDOFFWHITE-3XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","AMD2"
"08/09/2026","X002IRDSOL","B0GPQ4B7XH","6020SKDOFFWHITE-3XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"08/09/2026","X002IRDSOL","B0GPQ4B7XH","6020SKDOFFWHITE-3XL","Yash Gallery Women’s Muslin Fabric Printed Straight Kurta with Matching Dupatta Lightweight Breathable Muslin Kurta Set Office Casual & Festive Occasions (OFFWHITE)","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DED4"
