"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,167YK251BLACK-XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SSH7ZTM5GFUISZ1V,KTAH27SSH7ZTM5GF,IKRASS,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42613,29.547311999999998,1.926082,0.3744,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SRWGNBN8Y9G3MBFA,KTAH27SRWGNBN8Y9,IKRASS,654.0,25,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-S,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SK9VUWBPUCTWI4SD,KTAH27SK9VUWBPUC,IKRASS,654.0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-L,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SPYHHPVNBSAEONNF,KTAH27SPYHHPVNBS,IKRASS,654.0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,6017SKDRED-XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMK4MTJPGMIS6HCN,ETHHGQUMK4MTJPGM,IKRASS,967.0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.549092,24.156924,0.784352,0.0619,"Smart/Flipkart, Seller",No
malur_bts,165YK251MUSTRAD-M,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SU3KJEXSGD0AMIGF,KTAH27SU3KJEXSGD,IKRASS,654.0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,165YK251MUSTRAD-XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SRWGNBN8Y9G3MBFA,KTAH27SRWGNBN8Y9,IKRASS,654.0,0,0,0,0,0,0,25,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,165YK251MUSTRAD-M,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SU3KJEXSGD0AMIGF,KTAH27SU3KJEXSGD,IKRASS,654.0,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,165YK251MUSTRAD-3XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SS5NFJZTHZETIWMA,KTAH27SS5NFJZTHZ,IKRASS,686.0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-XXL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SP4P9HKFHDMOUFMJ,KTAH27SP4P9HKFHD,IKRASS,686.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.057102,0.958342,0.0544,"Smart/Flipkart, Seller",Yes
