"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,190YK214MEHROON-XXL,AKIKO Women Printed Anarkali Kurta,LSTKTAFJY2MTG4UCDD3M5Y77X,KTAFJY2MTG4UCDD3,AKIKO,717.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.647134,17.96796,4.092702,0.23,Seller,Yes
malur_bts,5023YKBLUE-M,AKIKO Regular Fit Women Blue Trousers,LSTTROGY7XBHPEZNYSQYNNGFI,TROGY7XBHPEZNYSQ,AKIKO,530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.142684,23.158704,1.9298920000000002,0.238,Seller,Yes
gur_san_wh_nl_01nl,1270YKBLUE-XXL,Yash Gallery Women Ikat A-line Kurta,LSTKTAGYZFP7QYG2ADN1PFSL4,KTAGYZFP7QYG2ADN,Yash Gallery,803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
ulub_bts,SKU-DUMMY,UNKNOWN PRODUCT,LISTING-DUMMY,WPRHK5N2AG3HPTBA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,Seller,Yes
gur_san_wh_nl_01nl,1057PLYKBLUE-XXL,Yash Gallery Casual Striped Women Blue Top,LSTTOPGQGHM5DBRQTFUEY7UDV,TOPGQGHM5DBRQTFU,Yash Gallery,974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1057YKBLUE-M,Yash Gallery Casual 3/4 Sleeve Striped Women Blue Top,LSTTUNFN5SUDHKGEKZKKLGVNH,TUNFN5SUDHKGEKZK,Yash Gallery,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1065YKBLUE-M,Yash Gallery Women Geometric Print A-line Kurta,LSTKTAFH4W6W4BEH5GFIJZM9G,KTAFH4W6W4BEH5GF,Yash Gallery,811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1057YKBLUE-XL,Yash Gallery Casual 3/4 Sleeve Striped Women Blue Top,LSTTUNFN5SUPEZ4YUGBPZZHXU,TUNFN5SUPEZ4YUGB,Yash Gallery,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1164YKBLACK-M,Yash Gallery Women Printed Anarkali Kurta,LSTKTAFUFQ5HGDHKG8MVU2NDK,KTAFUFQ5HGDHKG8M,Yash Gallery,797.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
malur_bts,1903YKPISTAGREEN-7XL,AKIKO Women Tiered Green Midi/Calf Length Dress,LSTDREHC425GDWJGHHPQTT8LU,DREHC425GDWJGHHP,AKIKO,797.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.246066,21.561552,1.35509,0.0059,"Smart/Flipkart, Seller",No
gur_san_wh_nl_01nl,1530YKWINE-XXL,Yash Gallery Casual Striped Women Purple Top,LSTTOPGQGKHKZKHGSTDDBS30T,TOPGQGKHKZKHGSTD,Yash Gallery,853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
luc_has_wh_nl_02nl,165YK251MUSTRAD-M,AKIKO Women Floral Print Flared Kurta,LSTKTAFJUTNTHZ9FAGQ6FJJNO,KTAFJUTNTHZ9FAGQ,AKIKO,684.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.051762,23.857457999999998,1.946402,0.1331,"Smart/Flipkart, Seller",Yes
malur_bts,1085YKPINK-S,AKIKO Women Printed Straight Kurta,LSTKTAFNHUPRMRR6FJSRAJPUZ,KTAFNHUPRMRR6FJS,AKIKO,744.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97864,8.98398,2.49555,0.48,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,1057PLYKBLUE-S,AKIKO Casual Striped Women Blue Top,LSTTOPHDVGTPGFYXPV6IMFTCQ,TOPHDVGTPGFYXPV6,AKIKO,595.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.251406,17.169384,3.0944819999999997,0.176,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1266YKBLUE-XL,Yash Gallery Women Printed Anarkali Kurta,LSTKTAGYZFZHEYRNWSF2ORMYC,KTAGYZFZHEYRNWSF,Yash Gallery,789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
luc_has_wh_nl_02nl,146PLYK148AZKBLU-XXL,AKIKO Women Printed Anarkali Kurta,LSTKTAG3TTNSYNXGTWWYLGQ3Z,KTAG3TTNSYNXGTWW,AKIKO,822.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.44571,19.066002,5.1907440000000005,0.275,"Smart/Flipkart, Seller",No
luc_has_wh_nl_02nl,1057YKBLUE-XL,AKIKO Casual 3/4 Sleeve Striped Women Blue Top,LSTTUNFNHVKVK7YDKPVZEFWV7,TUNFNHVKVK7YDKPV,AKIKO,597.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97864,8.98398,2.49555,0.48,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1270YKBLUE-L,Yash Gallery Women Ikat A-line Kurta,LSTKTAGYZFPGZBSRHHD7XCKMK,KTAGYZFPGZBSRHHD,Yash Gallery,807.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1057YKBLUE-XXL,Yash Gallery Casual Striped Women Blue Top,LSTTOPGDHWSASZZHN4FBUKUSM,TOPGDHWSASZZHN4F,Yash Gallery,871.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
ulub_bts,1590YKBLUE-M,AKIKO Casual Tie & Dye Women Blue Top,LSTTOPGUFJZMRTGUGQPVPT00J,TOPGUFJZMRTGUGQP,AKIKO,458.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.536632,29.547311999999998,0.898398,0.151,"Smart/Flipkart, Seller",No
gur_san_wh_nl_01nl,1336YKBLACK-L,AKIKO Casual Embroidered Women Black Top,LSTTOPG6HMHMXZVHKCQNE1ADJ,TOPG6HMHMXZVHKCQ,AKIKO,571.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9928800000000004,3.9928800000000004,3.9928800000000004,0.18,Seller,No
luc_has_wh_nl_02nl,1570YKPEACH-M,AKIKO Casual Embroidered Women Orange Top,LSTTOPGUF87JJ4TK5DHLV6P5W,TOPGUF87JJ4TK5DH,AKIKO,486.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.254966,16.071342,2.5953720000000002,0.13,"Smart/Flipkart, Seller",Yes
malur_bts,SKU-DUMMY,UNKNOWN PRODUCT,LISTING-DUMMY,WPRHATBE3FFVEXBF,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,0.0,Seller,Yes
luc_has_wh_nl_02nl,1057YKBLUE-XS,AKIKO Casual Striped Women Blue Top,LSTTOPGDMZ5ZHYH2Z2WLZOC2V,TOPGDMZ5ZHYH2Z2W,AKIKO,597.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.333428,28.94838,2.295906,0.158,"Smart/Flipkart, Seller",No
ulub_bts,1164PLYKBLACK-3XL,AKIKO Women Printed Anarkali Kurta,LSTKTAG3TSQFRB6MQMNCBIGEW,KTAG3TSQFRB6MQMN,AKIKO,826.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.347668,18.666714,5.290566,0.314,"Smart/Flipkart, Seller",Yes
ulub_bts,1330YKBLUE-XL,AKIKO Women Printed Anarkali Kurta,LSTKTAG6HHFJP2YFQGXV5GLND,KTAG6HHFJP2YFQGX,AKIKO,809.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.846778,18.666714,2.894838,0.135,Seller,No
gur_san_wh_nl_01nl,1065YKBLUE-L,Yash Gallery Women Geometric Print A-line Kurta,LSTKTAFH4V8FANPHJ9MQ8QQGO,KTAFH4V8FANPHJ9M,Yash Gallery,811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,1202YKBLUE-4XL,"AKIKO Women Polka Print Blue, White Top & Pyjama Set",LSTNSTGDZ74F9UYPUYRUCLY5J,NSTGDZ74F9UYPUYR,AKIKO,753.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.549092,19.9644,2.795016,0.249,"Smart/Flipkart, Seller",No
luc_has_wh_nl_02nl,167YK251BLACK-XXL,AKIKO Women Floral Print Flared Kurta,LSTKTAFJUQXZSZYRUZJWQMR5A,KTAFJUQXZSZYRUZJ,AKIKO,719.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.326308,29.547311999999998,4.292346,0.369,"Smart/Flipkart, Seller",Yes
luc_has_wh_nl_02nl,314YK411RED-XL,AKIKO Women Printed Anarkali Kurta,LSTKTAFMEFPYDUNQZDP5NH8TU,KTAFMEFPYDUNQZDP,AKIKO,813.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.45105,18.267426,3.1943040000000003,0.263,"Smart/Flipkart, Seller",No
malur_bts,1278YKPINK-M,"AKIKO Women Printed Pink, White Night Suit Set",LSTNSTGFGE8R6K6VSFGJ3DYNO,NSTGFGE8R6K6VSFG,AKIKO,730.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.636454,25.354788000000003,2.395728,0.281,"Smart/Flipkart, Seller",No
malur_bts,5023YKBLUE-XL,AKIKO Regular Fit Women Blue Trousers,LSTTROGY7XB8XZFJ4GQIZXLUL,TROGY7XB8XZFJ4GQ,AKIKO,565.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.142684,23.158704,1.9298920000000002,0.238,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,1473YKWHITE-XS,AKIKO Party Striped Women Pink Top,LSTTOPGUHQWX4DVGKXCKANM5V,TOPGUHQWX4DVGKXC,AKIKO,428.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.632894,32.342328,1.077976,0.1368,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,206YK324MUSTARD-M,"AKIKO Women Striped Casual Black, Yellow Shirt",LSTSHTFJX9AUF5Z8XHAYQH8WI,SHTFJX9AUF5Z8XHA,AKIKO,534.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.438590000000005,30.046422,1.9964400000000002,0.12,"Smart/Flipkart, Seller",Yes
