seller id,warehouse id,po_type,seller sku code,sku id,sku code,style id,inventory count,blocked count,sellable inventory count,is active,modified on
36841,81,SJIT,4018DRSBLUE-M,116224677,YARYTOPS116224677,36379856,1,,0,1,36:56.0
36841,81,SJIT,45233512,45233512,YARYKRTA45233512,13001144,1,,0,1,45:43.0
36841,15774,SJIT,1417PLYKNBLACK-8XL,104416094,YARYKRTI104416094,32415870,1,,0,1,47:12.0
36841,43815,SJIT,1594PLYKYELLOW-3XL,100490346,YARYKRTA100490346,31179961,1,,0,1,59:15.0
36841,36,SJIT,1516PLYKRED-3XL,72592004,YARYKRTA72592004,22845130,1,,0,1,10:50.0
36841,43815,SJIT,42951376,42951376,YARYKRTA42951376,11008048,1,,0,1,27:36.0
36841,36,SJIT,1516YKRED-S,72592092,YARYKRTA72592092,22845150,2,,0,1,45:08.0
36841,43815,SJIT,1529PLYKWINE-XXL,77861864,YARYKRTA77861864,24285852,1,,0,1,09:20.0
36841,81,SJIT,7066YKBLSGREEN-F,104415541,YARYSRBL104415541,32415731,2,,0,1,17:12.0
36841,43815,SJIT,5034YKOFFWHITE-L,95020520,YARYTRSR95020520,29559552,1,,0,1,58:54.0
36841,43815,SJIT,45945169,45945169,YARYTRSR45945169,11543232,1,,0,1,31:27.0
36841,15774,SJIT,37958118,37958118,YARYKRTA37958118,11007986,2,,0,1,04:43.0
36841,28,SJIT,224PLYKN148BNDJ-8XL,98367881,YARYKRTA98367881,30589851,1,,0,1,44:48.0
36841,36,SJIT,6015SKDBLACK-S,119482348,YARYKASS119482348,37371484,1,,0,1,11:25.0
36841,15774,SJIT,1306YKCORANGE-S,69755580,YARYKRTA69755580,22056070,1,,0,1,45:15.0
36841,36,SJIT,45890422,45890422,YARYKRTA45890422,13369432,2,,0,1,01:36.0
36841,28,SJIT,40277876,40277876,YARYKRTA40277876,9970257,1,,0,1,45:07.0
36841,36,SJIT,45233451,45233451,YARYKRTA45233451,13001116,1,,0,1,40:26.0
36841,309,SJIT,33872075,33872075,YARYKRTA33872075,9171465,1,,0,1,18:07.0
36841,28,SJIT,37957992,37957992,YARYKRTA37957992,11007964,1,,0,1,56:53.0
36841,28,SJIT,1057PLYKBLUE-XXL,87896050,YARYTNIC87896050,27282410,1,,0,1,25:00.0
36841,36,SJIT,1417PLYKNBLACK-7XL,104416092,YARYKRTI104416092,32415870,1,,0,1,59:25.0
36841,36,SJIT,36382920,36382920,YARYKRTA36382920,10613114,1,,0,1,15:13.0
36841,81,SJIT,1417YKBLACK-S,78062382,YARYKRTI78062382,24336838,1,,0,1,25:48.0
36841,43815,SJIT,47203655,47203655,YARYKRTA47203655,14071264,1,,0,1,31:48.0
36841,81,SJIT,1048YKCBLUE-L,99760637,YARYTOPS99760637,30984033,1,,0,1,53:16.0
36841,81,SJIT,1529YKWINE-S,78062422,YARYKRTI78062422,24336848,1,,0,1,14:32.0
36841,28,SJIT,40277760,40277760,YARYKRTA40277760,11008036,1,,0,1,48:46.0
36841,309,SJIT,37958266,37958266,YARYKRTA37958266,11008010,1,,0,1,19:53.0
36841,81,SJIT,45233488,45233488,YARYKRTA45233488,13001134,1,,0,1,44:51.0
36841,28,SJIT,1594PLYKYELLOW-XXL,100490345,YARYKRTA100490345,31179961,1,,0,1,56:53.0
36841,28,SJIT,5039PLYKNTEAL-XXL,106404031,YARYTRSR106404031,32999983,1,,0,1,44:56.0
36841,31055,SJIT,45233411,45233411,YARYKRTA45233411,13001096,1,,0,1,44:48.0
36841,43815,SJIT,1048YKCBLUE-XL,99760638,YARYTOPS99760638,30984033,2,,0,1,11:47.0
36841,309,SJIT,37958358,37958358,YARYDRSS37958358,11008030,1,,0,1,42:48.0
36841,43815,SJIT,1917PLYKBLUE-4XL,119474912,YARYKRTI119474912,37365679,1,,0,1,12:08.0
36841,36,SJIT,37957984,37957984,YARYKRTA37957984,11007964,2,,0,1,13:48.0
36841,81,SJIT,45233411,45233411,YARYKRTA45233411,13001096,1,,0,1,44:48.0
36841,15774,SJIT,1918YKYELLOW-S,118950709,YARYKRTI118950709,37188366,1,,0,1,54:34.0
36841,81,SJIT,1520PLYKSKYBLUE-XXL,84713770,YARYDRSS84713770,26211066,1,,0,1,24:37.0
36841,15774,SJIT,45233428,45233428,YARYKRTA45233428,13001104,1,,0,1,18:30.0
36841,28,SJIT,45945189,45945189,YARYKRTA45945189,12253048,1,,0,1,10:00.0
36841,15774,SJIT,224PLYKN148BNDJ-8XL,98367881,YARYKRTA98367881,30589851,1,,0,1,44:48.0
36841,43815,SJIT,1937PLYKPURPLE-3XL,119482306,YARYKASS119482306,37371474,2,,0,1,34:20.0
36841,309,SJIT,1309PLYKNRED-5XL,52048631,YARYKRTI52048631,16605250,1,,0,1,19:48.0
36841,15774,SJIT,38290098,38290098,YARYTRSR38290098,11097742,1,,0,1,45:20.0
36841,81,SJIT,1260PLYKNTEAL-8XL,60349544,YARYKRTA60349544,19448140,1,,0,1,12:16.0
36841,15774,SJIT,1915YKBLACK-S,118950701,YARYKRTI118950701,37188364,1,,0,1,02:18.0
36841,81,SJIT,1662YKBLACK-M,96894412,YARYKRTA96894412,30111533,1,,0,1,43:07.0
36841,81,SJIT,37958076,37958076,YARYKRTA37958076,11007980,2,,0,1,43:43.0
36841,81,SJIT,1388YKCMAROON-5XL,69755200,YARYKRTA69755200,22056020,1,,0,1,40:07.0
36841,43815,SJIT,1817PLYKPURPLE-4XL,106413496,YARYKASS106413496,33002575,1,,0,1,43:39.0
36841,43815,SJIT,46456479,46456479,YARYKRTA46456479,13671664,1,,0,1,44:05.0
