OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,FBA_InTransit,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty,Sold_Units,Return_Units,Net_Units,Return_Overlay_Units,Ship_Units_150d,Lead_Time_Days,PO_Block_Reason,Eff_Days,Eff_Days_Inventory,Inv_Coverage_Days,Recent_ADS,Flat30_ADS,LY_Sold_Units,LY_Net_Units,LY_ADS,Seasonal_Month_ADS,ADS,Gross_PO_Qty,PO_Pipeline_Total,PO_Qty_Ordered,Pending_Cutting,Balance_to_Dispatch,Days_Left,SKU_Sheet_Status,SKU_Sheet_Closed,Lead_Time_From_Status_Sheet,PO_Confirmed_Raise_Pipeline,PO_Raised_Yesterday,PO_Raised_Today,PO_Last_Raised_Qty,PO_Raised_On_View_Date,PO_Last_Raised_Date,PO_Pipeline_Effective,PO_Qty,Stockout_Flag,Priority,Parent_SKU,Cutting_Ratio,Projected_Running_Days,Post_PO_Cover_Days_Capped,Suggest_Close_SKU,Bundle_Size,Cutting_Source,Cut_From_Siblings,PO_Cutting_Note,Oct-Dec 2024,Jan-Mar 2025,Apr-Jun 2025,Jul-Sep 2025,Oct-Dec 2025,Jan-Mar 2026,Apr-Jun 2026,Jul-Sep 2026
1001YKBEIGE-3XL,47.0,13.0,13.0,0.0,0.0,0.0,13.0,60.0,0,0,11,0.0,11,0,79,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.393,0.3,20.0,16.0,0.667,0.598,0.598,0,35,0,35,0,100.3,High selling,False,True,0,0,0,0,0,,35,0,,🔄 In Pipeline,1001YKBEIGE,0.0,158.9,158.9,,,,,,78,70,69,55,26,41,53,4
1001YKBEIGE-4XL,56.0,17.0,13.0,0.0,0.0,0.0,13.0,69.0,0,0,18,1.0,17,0,60,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.643,0.533,15.0,13.0,0.5,0.446,0.571,0,40,0,40,0,120.8,High selling,False,True,0,0,0,0,0,,40,0,,🔄 In Pipeline,1001YKBEIGE,0.0,190.9,190.9,,,,,,44,59,42,41,29,29,39,4
1001YKBEIGE-5XL,3.0,3.0,4.0,0.0,0.0,0.0,4.0,7.0,0,0,13,0.0,13,0,64,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.464,0.433,22.0,19.0,0.733,0.467,0.467,0,55,0,45,10,15.0,High selling,False,True,0,0,0,0,0,,55,0,,🔄 In Pipeline,1001YKBEIGE,0.0,132.8,132.8,,,,,,49,76,71,43,38,38,34,6
1001YKBEIGE-6XL,19.0,7.0,3.0,0.0,0.0,0.0,3.0,22.0,0,0,2,0.0,2,0,31,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.071,0.067,8.0,8.0,0.267,0.217,0.217,0,15,0,15,0,101.4,High selling,False,True,0,0,0,0,0,,15,0,,🔄 In Pipeline,1001YKBEIGE,0.0,170.5,170.5,,,,,,9,14,14,20,12,16,22,4
1001YKBEIGE-7XL,6.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,0,0,2,0.0,2,0,18,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.071,0.067,3.0,1.0,0.1,0.087,0.087,0,12,0,10,2,80.5,High selling,False,True,0,0,0,0,0,,12,0,,🔄 In Pipeline,1001YKBEIGE,0.0,218.4,218.4,,,,,,15,12,8,8,12,13,9,0
1001YKBEIGE-8XL,7.0,4.0,3.0,0.0,0.0,0.0,3.0,10.0,0,0,2,0.0,2,0,17,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.071,0.067,10.0,4.0,0.333,0.174,0.202,0,25,0,25,0,49.5,High selling,False,True,0,0,0,0,0,,25,0,,🔄 In Pipeline,1001YKBEIGE,0.0,173.3,173.3,,,,,,25,18,19,16,20,19,8,0
1001YKBEIGE-L,21.0,8.0,8.0,0.0,0.0,0.0,8.0,29.0,0,0,11,0.0,11,0,53,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.393,0.3,14.0,11.0,0.467,0.261,0.367,0,70,0,70,0,79.0,High selling,False,True,0,0,0,0,0,,70,0,,🔄 In Pipeline,1001YKBEIGE,0.0,269.8,269.8,,,,,,39,44,41,24,22,35,33,1
1001YKBEIGE-M,27.0,5.0,7.0,0.0,0.0,0.0,7.0,34.0,0,0,6,0.0,6,0,40,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.214,0.167,9.0,6.0,0.3,0.293,0.293,0,15,0,15,0,116.0,High selling,False,True,0,0,0,0,0,,15,0,,🔄 In Pipeline,1001YKBEIGE,0.0,167.2,167.2,,,,,,41,20,25,27,18,31,18,1
1001YKBEIGE-S,16.0,4.0,7.0,0.0,0.0,0.0,7.0,23.0,0,0,1,0.0,1,0,13,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.036,0.033,4.0,3.0,0.133,0.087,0.087,0,10,0,10,0,264.4,High selling,False,True,0,0,0,0,0,,10,0,,🔄 In Pipeline,1001YKBEIGE,0.0,379.3,379.3,,,,,,10,19,12,8,7,7,7,0
1001YKBEIGE-XL,22.0,11.0,17.0,0.0,0.0,3.0,20.0,42.0,0,0,8,0.0,8,0,70,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.286,0.267,17.0,13.0,0.567,0.543,0.543,0,60,0,60,0,77.3,High selling,False,True,0,0,0,0,0,,60,0,,🔄 In Pipeline,1001YKBEIGE,0.0,187.8,187.8,,,,,,74,58,63,50,25,45,42,5
