OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty
1001YKBEIGE-3XL,34.0,11.0,22.0,0.0,0.0,22.0,56.0,0,0
1001YKBEIGE-4XL,39.0,12.0,4.0,0.0,0.0,4.0,43.0,0,0
1001YKBEIGE-5XL,22.0,6.0,8.0,0.0,0.0,8.0,30.0,0,0
1001YKBEIGE-6XL,13.0,4.0,5.0,0.0,0.0,5.0,18.0,0,0
1001YKBEIGE-7XL,20.0,5.0,3.0,0.0,0.0,3.0,23.0,0,0
1001YKBEIGE-8XL,20.0,4.0,1.0,0.0,0.0,1.0,21.0,0,0
1001YKBEIGE-L,19.0,6.0,7.0,0.0,0.0,7.0,26.0,0,0
1001YKBEIGE-M,33.0,5.0,3.0,0.0,0.0,3.0,36.0,0,0
1001YKBEIGE-S,16.0,4.0,6.0,0.0,0.0,6.0,22.0,0,0
1001YKBEIGE-XL,24.0,7.0,12.0,0.0,0.0,12.0,36.0,0,0
1001YKBEIGE-XS,14.0,4.0,1.0,0.0,0.0,1.0,15.0,0,0
1001YKBEIGE-XXL,24.0,9.0,17.0,0.0,1.0,18.0,42.0,0,0
1003KDMUSTARD-11-12,13.0,6.0,2.0,0.0,0.0,2.0,15.0,0,0
1003KDMUSTARD-13-14,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1003KDMUSTARD-7-8,38.0,5.0,3.0,0.0,0.0,3.0,41.0,0,0
1003KDMUSTARD-9-10,13.0,4.0,1.0,0.0,0.0,1.0,14.0,0,0
1003YKMUSTARD-3XL,75.0,10.0,29.0,0.0,0.0,29.0,104.0,0,0
1003YKMUSTARD-4XL,104.0,16.0,21.0,0.0,0.0,21.0,125.0,0,0
1003YKMUSTARD-5XL,45.0,10.0,31.0,0.0,1.0,32.0,77.0,0,0
1003YKMUSTARD-6XL,17.0,8.0,17.0,0.0,0.0,17.0,34.0,0,0
1003YKMUSTARD-7XL,9.0,6.0,16.0,0.0,0.0,18.0,27.0,2,0
1003YKMUSTARD-8XL,16.0,4.0,7.0,0.0,0.0,7.0,23.0,0,0
1003YKMUSTARD-L,4.0,4.0,7.0,0.0,0.0,11.0,15.0,4,0
1003YKMUSTARD-M,13.0,5.0,12.0,0.0,0.0,12.0,25.0,0,0
1003YKMUSTARD-S,9.0,5.0,8.0,0.0,0.0,8.0,17.0,0,0
1003YKMUSTARD-XL,14.0,7.0,18.0,0.0,0.0,18.0,32.0,0,0
1003YKMUSTARD-XS,19.0,3.0,5.0,0.0,0.0,5.0,24.0,0,0
1003YKMUSTARD-XXL,9.0,9.0,19.0,11.0,0.0,30.0,39.0,0,0
1006KDBLUE-11-12,23.0,6.0,1.0,0.0,0.0,1.0,24.0,0,0
1006KDBLUE-13-14,17.0,6.0,1.0,0.0,0.0,1.0,18.0,0,0
1006KDBLUE-7-8,21.0,5.0,0.0,0.0,0.0,0.0,21.0,0,0
1006KDBLUE-9-10,20.0,5.0,1.0,0.0,0.0,1.0,21.0,0,0
1006YKBLUE-3XL,85.0,12.0,10.0,0.0,0.0,10.0,95.0,0,0
1006YKBLUE-4XL,126.0,15.0,39.0,0.0,0.0,39.0,165.0,0,0
1006YKBLUE-5XL,96.0,9.0,18.0,0.0,0.0,18.0,114.0,0,0
1006YKBLUE-6XL,63.0,5.0,12.0,0.0,0.0,12.0,75.0,0,0
1006YKBLUE-7XL,47.0,5.0,15.0,0.0,0.0,15.0,62.0,0,0
1006YKBLUE-8XL,30.0,7.0,11.0,0.0,0.0,11.0,41.0,0,0
1006YKBLUE-L,45.0,10.0,5.0,0.0,0.0,5.0,50.0,0,0
1006YKBLUE-M,46.0,8.0,4.0,0.0,0.0,4.0,50.0,0,0
1006YKBLUE-S,75.0,6.0,7.0,0.0,0.0,7.0,82.0,0,0
1006YKBLUE-XL,48.0,7.0,10.0,0.0,0.0,10.0,58.0,0,0
1006YKBLUE-XS,16.0,3.0,5.0,0.0,0.0,5.0,21.0,0,0
1006YKBLUE-XXL,66.0,16.0,15.0,2.0,0.0,17.0,83.0,0,0
1007YKBLACK-3XL,66.0,7.0,17.0,0.0,4.0,41.0,107.0,6,14
1007YKBLACK-4XL,63.0,8.0,4.0,0.0,0.0,6.0,69.0,2,0
1007YKBLACK-5XL,18.0,10.0,22.0,0.0,0.0,22.0,40.0,0,0
1007YKBLACK-6XL,48.0,4.0,1.0,0.0,0.0,1.0,49.0,0,0
1007YKBLACK-7XL,13.0,4.0,1.0,0.0,0.0,2.0,15.0,0,1
1007YKBLACK-8XL,50.0,5.0,15.0,1.0,0.0,29.0,79.0,0,13
1007YKBLACK-L,46.0,7.0,27.0,0.0,1.0,28.0,74.0,0,0
1007YKBLACK-M,82.0,8.0,26.0,0.0,1.0,27.0,109.0,0,0
1007YKBLACK-S,46.0,9.0,20.0,0.0,1.0,21.0,67.0,0,0
1007YKBLACK-XL,41.0,6.0,16.0,0.0,1.0,23.0,64.0,6,0
1007YKBLACK-XS,17.0,5.0,13.0,0.0,1.0,20.0,37.0,5,1
1007YKBLACK-XXL,69.0,6.0,29.0,18.0,1.0,71.0,140.0,4,19
