"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"08/04/2026","X002GG7LR9","B0G3H8DN6Y","AK-209NAVY-XL","Akiko Women’s Rayon Printed Anarkali Long Kurti with Elegant Gold Motifs, Front Button Detailing & 3/4 Sleeves (Navy Blue)","SELLABLE","0","0","2","0","0","0","0","0","0","0","0","0","2","0","TWWR"
"08/04/2026","X002GG7R5P","B0G3GN64JJ","AK-234BROWN-L","Akiko Women’s Sleeveless Cotton Brown Printed Straight Kurti for Casual, Office Soft Comfortable Fabric with Ethnic Geometric Pattern","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","TWWR"
"08/04/2026","X002GG87B3","B0G3GKB57R","AK-240MAUVE-L","Akiko Women’s Sleeveless Cotton Mauve Printed Straight Kurti with Stylish Yoke & Lace Detailing | Soft Comfortable Fabric for Casual, Office","SELLABLE","3","0","0","0","0","0","0","0","0","0","0","0","3","0","BLR8"
"08/04/2026","X002GG87B3","B0G3GKB57R","AK-240MAUVE-L","Akiko Women’s Sleeveless Cotton Mauve Printed Straight Kurti with Stylish Yoke & Lace Detailing | Soft Comfortable Fabric for Casual, Office","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","TWWR"
"08/04/2026","X002GG8FJ7","B0G3GF836G","AK-235RED-S","Akiko Women’s Sleeveless Cotton Red & Black Striped Printed Straight Kurti for Casual, Office Soft Comfortable Fabric with Contrast Blue Lace Detail","SELLABLE","4","0","0","0","0","0","0","0","0","0","0","0","4","0","BLR8"
"08/04/2026","X002GG8FJ7","B0G3GF836G","AK-235RED-S","Akiko Women’s Sleeveless Cotton Red & Black Striped Printed Straight Kurti for Casual, Office Soft Comfortable Fabric with Contrast Blue Lace Detail","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","TWWR"
"08/04/2026","X002GG8FKB","B0G3GS6NMC","AK-233GREEN-XL","Akiko Women’s Sleeveless Rayon Printed Straight Kurti for Casual, Office & Everyday Wear | Soft, Breathable Fabric with Stylish Green Ethnic Pattern","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"08/04/2026","X002GG8FKB","B0G3GS6NMC","AK-233GREEN-XL","Akiko Women’s Sleeveless Rayon Printed Straight Kurti for Casual, Office & Everyday Wear | Soft, Breathable Fabric with Stylish Green Ethnic Pattern","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","TWWR"
"08/04/2026","X002GG9451","B0G3GXLBPR","AK-237MULTI-XXL","Akiko Women’s Micro Fiber Printed A-Line Kurti Top with 3/4 Sleeves | Lightweight Breathable Ethnic Tunic for Office, Casual Outings & Travel – Stylish Floral Patterned Short Kurta for Women","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","TWWR"
"08/04/2026","X002GGAQFD","B0G3GHFR19","AK-234BROWN-XL","Akiko Women’s Sleeveless Cotton Brown Printed Straight Kurti for Casual, Office Soft Comfortable Fabric with Ethnic Geometric Pattern","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","TWWR"
