"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,1882YKBROWN-M,IKRASS Casual Printed Women Brown Top,LSTTOPHC6EPYBZXNJFHSNCKND,TOPHC6EPYBZXNJFH,IKRASS,601.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.638234000000004,29.746955999999997,0.23952199999999998,0.0417,"Smart/Flipkart, Seller",Yes
malur_bts,5041YKBOTTELGREEN-XL,IKRASS Regular Fit Women Dark Green Trousers,LSTTROHCZ9GKYTYGGUGYOAEY1,TROHCZ9GKYTYGGUG,IKRASS,569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.657814,16.370808,3.7932360000000003,0.063,Seller,Yes
bhi_vas_wh_nl_01nl,7053YKBLS-M,IKRASS Round Neck Women Blouse,LSTBLOH3Q7BAYSZJSSKMB85NU,BLOH3Q7BAYSZJSSK,IKRASS,589.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.943040000000003,28.648914,0.327914,0.0126,Seller,Yes
malur_bts,167YK251BLACK-XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SSH7ZTM5GFUISZ1V,KTAH27SSH7ZTM5GF,IKRASS,660.0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42613,29.547311999999998,1.926082,0.3744,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-M,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SU3KJEXSGD0AMIGF,KTAH27SU3KJEXSGD,IKRASS,660.0,33,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-L,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SPYHHPVNBSAEONNF,KTAH27SPYHHPVNBS,IKRASS,664.0,33,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,39.529512,28.648914,0.818642,0.0801,"Smart/Flipkart, Seller",Yes
malur_bts,165YK251MUSTRAD-XXL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SP4P9HKFHDMOUFMJ,KTAH27SP4P9HKFHD,IKRASS,693.0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.057102,0.958342,0.0544,"Smart/Flipkart, Seller",Yes
malur_bts,SKU-DUMMY,UNKNOWN PRODUCT,LISTING-DUMMY,WPRHNBGGJ6KZKPFT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,Seller,Yes
bhi_vas_wh_nl_01nl,6018SKDYELLOW-5XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUM3EHQ4BJHXVNZ03,ETHHGQUM3EHQ4BJH,IKRASS,1022.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.156924,0.958342,0.0544,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,224YK148BNDJ-L,IKRASS Women Printed Frontslit Kurta,LSTKTAH27SPXJHVGKB8ZP4L6N,KTAH27SPXJHVGKB8,IKRASS,805.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.128444,30.545532,1.639824,0.3397,"Smart/Flipkart, Seller",No
malur_bts,1127YKMAROON-7XL,IKRASS Women Kurta Palazzo Set,LSTETHHC5GE3MVGMX3SE2WDMX,ETHHC5GE3MVGMX3S,IKRASS,998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.326308,28.748736,5.49021,0.534,Seller,Yes
bhi_vas_wh_nl_01nl,6017SKDRED-5XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMHNKR7HMAI6KVWL,ETHHGQUMHNKR7HMA,IKRASS,1018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40.128444,30.545532,1.639824,0.3397,"Smart/Flipkart, Seller",Yes
malur_bts,1625YKBLACK-S,IKRASS Women Kurta Pant Set,LSTETHH34ZSYVMKUZUD25CKET,ETHH34ZSYVMKUZUD,IKRASS,859.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.025062000000005,30.545532,1.577086,0.2971,"Smart/Flipkart, Seller",No
malur_bts,165YK251MUSTRAD-XS,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SPY4FDZGYFAFAUDS,KTAH27SPY4FDZGYF,IKRASS,613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,"Smart/Flipkart, Seller",Yes
malur_bts,1625YKBLACK-5XL,IKRASS Women Kurta Pant Set,LSTETHH34ZR54DGHK4RYRRDAC,ETHH34ZR54DGHK4R,IKRASS,926.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.723816,30.844998000000004,1.429512,0.3568,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,188YK83NAVY-M,IKRASS Women Fit and Flare Blue Mini/Short Dress,LSTDREH3NN3MA8B3KMTVA5WTN,DREH3NN3MA8B3KMT,IKRASS,565.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.44571,26.452830000000002,0.37922199999999995,0.0518,"Smart/Flipkart, Seller",Yes
malur_bts,7106YKGREY-F,IKRASS Halter Neck Women Blouse,LSTBLOHMD3SEMH32SX37YT5KZ,BLOHMD3SEMH32SX3,IKRASS,361.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.128444,30.545532,1.639824,0.3397,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,4010DRSMULTI-M,IKRASS Casual Printed Women Multicolor Top,LSTTOPHEYK5HXBYBPJ6WWHRAK,TOPHEYK5HXBYBPJ6,IKRASS,442.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.540192000000005,27.650694,2.0962620000000003,0.084,"Smart/Flipkart, Seller",Yes
malur_bts,6016SKDBLUE-XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMNAY7UWDPK2NZQH,ETHHGQUMNAY7UWDP,IKRASS,978.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.023282,31.543751999999998,1.713484,0.3434,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,6017SKDRED-4XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMZDYFHKGDMPATQE,ETHHGQUMZDYFHKGD,IKRASS,1022.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.648914,24.156924,0.544068,0.0433,"Smart/Flipkart, Seller",Yes
malur_bts,6017SKDRED-4XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMZDYFHKGDMPATQE,ETHHGQUMZDYFHKGD,IKRASS,1022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.648914,24.156924,0.544068,0.0433,"Smart/Flipkart, Seller",Yes
malur_bts,1057YKBLUE-3XL,IKRASS Casual Printed Women Blue Top,LSTTOPH3FTZFKZGJZHGWZSDS4,TOPH3FTZFKZGJZHG,IKRASS,593.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.133784,25.354788000000003,5.290566,0.184,"Smart/Flipkart, Seller",Yes
malur_bts,1556YKGREEN-7XL,IKRASS Women Printed A-line Kurta,LSTKTAHDFYG6G3VHSEFTBYJ2E,KTAHDFYG6G3VHSEF,IKRASS,670.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42613,29.547311999999998,1.926082,0.3744,"Smart/Flipkart, Seller",No
malur_bts,6018SKDYELLOW-XXL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUM3UDFRFMQB43A91,ETHHGQUM3UDFRFMQ,IKRASS,1022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.057102,0.958342,0.0544,"Smart/Flipkart, Seller",Yes
