"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2026-08-05T20:22:14-07:00","AK-128-S","X00464W1IB","B0CYB22ZVL","LAS7","1","114-1573597-7685062","USD","34.50","0.00","0.00","ARLINGTON","TX","76012-2811"
"2026-08-05T15:48:52-07:00","1065YKNBLUE-M","X003AWYHO1","B07YZ7HM8N","ORF4","1","113-0489038-7173034","USD","36.50","0.00","0.00","MANASSAS","VA","20111-7026"
"2026-08-05T15:16:50-07:00","TB6YKPURPLE -P3","X004MPJEF7","B0F37QQZRW","PDX8","1","114-7958214-9037010","USD","9.99","0.00","0.00","SALUDA","VA","23149-2596"
"2026-08-05T15:13:17-07:00","313YKN411BLUE-S","X003C2TT83","B07RKFT9TZ","LGA9","1","114-4445423-3351436","USD","36.50","0.00","0.00","CAMBRIDGE","MA","02142-1710"
"2026-08-05T14:56:29-07:00","1338YKNBLACK-XL","X003CTF9CV","B09GPGND4Q","ORF4","1","112-3180784-1966611","USD","36.50","0.00","0.00","GLEN ALLEN","VA","23059-5698"
"2026-08-05T14:49:13-07:00","206YK324YLW-XL","X004WE7Y69","B0FWS2LZLP","DET3","1","112-7926978-4809809","USD","24.49","0.00","0.00","Cumming","GA","30041"
"2026-08-05T14:34:41-07:00","1379YKGREEN-S","X003AQPCKF","B09QX48YNL","SBD6","1","113-2481872-4965868","USD","36.50","0.00","0.00","SAN ANTONIO","TX","78255-3343"
"2026-08-05T14:31:25-07:00","224PLYK148BNDJ-XXL","X003C2VGD9","B08292M2RX","PCW1","1","113-0622726-3298643","USD","36.50","0.00","0.00","FARMINGTON HILLS","MI","48335-3308"
"2026-08-05T14:25:01-07:00","1340PLYKMULTI-XXL","X003C2VG8J","B09KRZC1YV","AUS2","1","113-1623912-1521825","USD","37.50","0.00","0.00","MANVEL","TX","77578-4066"
"2026-08-05T13:46:23-07:00","1529PLYKWINE-3XL","X003XBYAHN","B0CD7XCSKP","BFL1","1","114-9284029-3636226","USD","29.49","0.00","0.00","TUCSON","AZ","85737-7723"
"2026-08-05T13:14:48-07:00","1129YKNBLUE-L","X003FFRZFB","B085ZKFXSQ","CLT4","1","114-5514019-0137821","USD","34.50","0.00","0.00","BROOKLYN","NY","11217-2003"
"2026-08-05T13:04:45-07:00","1529YKWINE-S","X003XC0G6B","B0CD7W3ZHD","JAX2","1","113-7735685-4867463","USD","37.50","3.32","0.00","MIAMI","FL","33186-5547"
"2026-08-05T12:45:14-07:00","1065YKBLUE-XL","X002RT3MMV","B07YZ648HM","TYS1","1","112-4490281-2879448","USD","28.09","0.00","0.00","WAUKESHA","WI","53188-3267"
"2026-08-05T12:43:51-07:00","1562YKGREEN-3XL","X0040YTAEF","B0CJFQ1RMG","MLI1","1","113-9788688-3088206","USD","34.99","0.00","0.00","FLANDERS","NJ","07836-9130"
"2026-08-05T12:03:13-07:00","1130PLYKNPURPLE-3XL","X003CT88QF","B097RMRG7Y","DET6","1","113-7480588-8726637","USD","0.00","0.00","0.00","ROCKVILLE","MD","20853-2764"
"2026-08-05T11:03:53-07:00","1364PLYKNBROWN-3XL","X003FG00U7","B09KRY7H5M","BFL2","1","111-4638443-2282632","USD","34.00","0.00","0.00","PALM DESERT","CA","92211-0883"
"2026-08-05T08:29:11-07:00","TB4YKBLUE -P3","X004MND6ET","B0F3333RBR","SDF1","1","112-6267248-1804201","USD","9.99","0.00","0.00","YONKERS","NY","10701-1261"
"2026-08-05T06:25:02-07:00","1260YKTEAL-XL","X0037QC2YR","B08W2CJP9Z","CLE2","1","113-3697312-8360262","USD","36.50","0.00","0.00","BRIDGEWATER","NJ","08807-5768"
"2026-08-05T06:23:51-07:00","1300YKORANGE-S","X004ZQ6X0R","B094RBKZMN","SCK6","1","113-2481872-4965868","USD","35.70","0.00","0.00","SAN ANTONIO","TX","78255-3343"
"2026-08-05T06:23:06-07:00","1254PLYKNBLUE-5XL","X003CTJ6R5","B08SK15S2H","CLE2","1","113-4672240-1871448","USD","36.50","0.00","0.00","Acton","MA","01720"
"2026-08-05T05:48:49-07:00","1260YKTEAL-M","X0037QBRI9","B08W1PRZ5R","FAT1","1","113-2944546-2657063","USD","36.50","0.00","0.00","Fresno","CA","93725-9588"
"2026-08-05T05:11:17-07:00","1256YKNPEACH-XL","X003FFVRG9","B08W39XFZK","PSP1","1","111-3285343-2089062","USD","31.50","0.00","0.00","FLORAL PARK","NY","11001-1104"
"2026-08-05T04:31:03-07:00","1007YKNBLACK-M","X003AWWXQP","B07VN6Z5GL","DEN4","1","114-1307689-2815453","USD","37.50","0.00","0.00","BOWLING GREEN","KY","42104-6001"
"2026-08-05T03:47:32-07:00","1250YKNBLACK-XS","X003FFRZND","B08SK2Q41F","SAN3","1","111-2700993-5796214","USD","35.00","0.00","0.00","KIRKLAND","WA","98033-8845"
"2026-08-05T03:45:12-07:00","1260YKTEAL-5XL","X0037QCG2F","B08W2DFMVY","YVR4","1","701-1647938-3076200","CAD","56.21","0.00","0.00","Owen Sound","Ontario","N4K 2N7"
"2026-08-05T01:52:19-07:00","313PLYKN411BLUE-3XL","X003C2OEPV","B082937T21","FAT1","1","114-6030363-4532230","USD","37.50","0.00","0.00","SACRAMENTO","CA","95828-5772"
"2026-08-05T00:22:55-07:00","1338PLYKNBLACK-XXL","X003CTIIM9","B09HKDGX59","MTN1","1","114-3977881-1273835","USD","37.50","0.00","0.00","HENRICO","VA","23294-4356"
