"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2026-08-05T22:10:57+05:30","AK-142BLACK-3XL","X0021VG8OL","B0D5RCD362","DEL4","1","405-0856807-9805131","INR","580.00","0.00","0.00","GURUGRAM","HARYANA","122505"
"2026-08-05T21:46:57+05:30","1964AKMAROON-XL","X002LMOP27","B0H2QFHMGP","CCX1","1","408-6957009-6198750","INR","570.48","0.00","0.00","BARASAT","WEST BENGAL","700126"
"2026-08-05T21:43:59+05:30","AK-250BLUE-XXL","X002LHSWAN","B0H2DKNZ7K","BOM5","1","405-2930514-0868303","INR","608.58","0.00","0.00","PIRANGUT","MAHARASHTRA","412115"
"2026-08-05T21:09:57+05:30","AK-191BROWN-XL","X002HSDRG5","B0GHNJNLT3","BOM5","1","408-4954388-0660334","INR","570.48","0.00","0.00","THANE","MAHARASHTRA","401107"
"2026-08-05T20:58:46+05:30","AK-250BLUE-5XL","X002LHY491","B0H2DQQ3H9","BOM7","1","403-2607871-3997147","INR","608.57","0.00","0.00","BENGALURU","KARNATAKA","560047"
"2026-08-05T20:16:59+05:30","1964AKMAROON-5XL","X002LMQOXZ","B0H2QF796Z","BOM7","1","408-8486388-6981126","INR","599.04","0.00","0.00","THANE","MAHARASHTRA","400601"
"2026-08-05T19:33:14+05:30","AK-191BROWN-3XL","X002EYDVVD","B0FSXV6917","DEL4","1","405-8455648-9841941","INR","608.57","38.10","0.00","RAJKOT","GUJARAT","360007"
"2026-08-05T19:30:49+05:30","AK-191BROWN-XXL","X002EYB9M1","B0FSXTH92N","BOM5","1","406-4811536-8109949","INR","608.58","18.10","0.00","MUMBAI","MAHARASHTRA","400068"
"2026-08-05T18:59:49+05:30","AK-191BROWN-4XL","X002EYE7G1","B0FSXTY1NF","DEL5","1","404-3678333-1828354","INR","608.57","38.10","0.00","GREATER NOIDA","UTTAR PRADESH","201310"
"2026-08-05T18:58:45+05:30","AK-191BROWN-3XL","X002EYDVVD","B0FSXV6917","LKO1","1","171-0918286-9700369","INR","608.58","38.10","0.00","VARANASI","UTTAR PRADESH","221002"
"2026-08-05T18:16:48+05:30","AK-191BROWN-S","X002HSDP4T","B0GHNF49J3","CCX1","1","405-7868039-3013102","INR","570.48","38.10","0.00","HARINA","JHARKHAND","828306"
"2026-08-05T17:52:50+05:30","AK-191BROWN-3XL","X002EYDVVD","B0FSXV6917","LKO1","1","404-3722552-7057904","INR","608.58","0.00","0.00","LUCKNOW","UTTAR PRADESH","226016"
"2026-08-05T17:36:47+05:30","AK-191BROWN-3XL","X002EYDVVD","B0FSXV6917","BOM5","1","406-9613068-4364321","INR","608.57","0.00","0.00","BENAULIM","GOA","403708"
"2026-08-05T17:04:48+05:30","AK-191BROWN-5XL","X002EYC98J","B0FSXWNR7Z","PNQ3","1","171-7256678-2455506","INR","608.57","0.00","0.00","VADODARA","GUJARAT","390004"
"2026-08-05T17:00:09+05:30","AK-212NAVYBLUE-XL","X002DMJYV7","B0FM8FHHLV","TWWR","1","171-0243532-6838735","INR","694.29","0.00","0.00","GHAZIABAD","UTTAR PRADESH","201014"
"2026-08-05T16:59:41+05:30","AK-142BLACK-5XL","X0021VG8QJ","B0D5RDBT91","TWWR","1","402-6517071-3993134","INR","580.00","0.00","0.00","NAVI MUMBAI","MAHARASHTRA","400705"
"2026-08-05T16:59:28+05:30","7081AKPINK-4XL","X002MI77JX","B0H6FKV1C6","TWWR","1","408-6459827-8107512","INR","408.57","38.10","0.00","KHOR","MADHYA PRADESH","458470"
"2026-08-05T16:58:26+05:30","301PLAK340TYEDYE-3XL","X001MJ3CND","B0BBS7FYCW","TWWR","1","171-2293889-7993965","INR","475.24","38.10","0.00","PUNE","MAHARASHTRA","411060"
"2026-08-05T15:41:45+05:30","AK-250BLUE-M","X002LHREJD","B0H2DJQZXQ","CCX2","1","171-3393618-0753907","INR","570.48","0.00","0.00","Bengaluru","KARNATAKA","560078"
"2026-08-05T13:44:58+05:30","AK-191BROWN-XXL","X002EYB9M1","B0FSXTH92N","CCX2","1","404-4748680-0636333","INR","608.57","0.00","0.00","jamshedpur","JHARKHAND","831005"
"2026-08-05T12:09:30+05:30","AK-142BLACK-8XL","X002IHMPI1","B0GLGGHP6W","PNQ3","1","171-2259686-0158722","INR","656.20","38.10","0.00","MUMBAI","MAHARASHTRA","400058"
"2026-08-05T10:54:52+05:30","AK-191BROWN-XL","X002HSDRG5","B0GHNJNLT3","BOM7","1","402-2671122-0683539","INR","570.48","0.00","0.00","KALYAN","MAHARASHTRA","421301"
"2026-08-05T10:52:44+05:30","AK-191BROWN-XL","X002HSDRG5","B0GHNJNLT3","DEL5","1","171-2644457-3737929","INR","570.48","38.10","0.00","JAIPUR","RAJASTHAN","302020"
"2026-08-05T10:39:47+05:30","AK-191BROWN-3XL","X002EYDVVD","B0FSXV6917","BOM5","1","403-1574346-0267539","INR","608.57","0.00","0.00","MANDIDEEP","MADHYA PRADESH","464993"
"2026-08-05T10:29:48+05:30","AK-191BROWN-4XL","X002EYE7G1","B0FSXTY1NF","BOM7","1","403-4657832-5305946","INR","608.57","0.00","0.00","Chandranagar. Paldi. Ahmedabad","Gujarat","380007"
"2026-08-05T10:03:46+05:30","AK-191BROWN-4XL","X002EYE7G1","B0FSXTY1NF","BOM5","1","406-3790823-8221131","INR","608.58","0.00","0.00","MUMBAI","MAHARASHTRA","400052"
"2026-08-05T09:42:50+05:30","AK-191BROWN-XL","X002HSDRG5","B0GHNJNLT3","BOM5","1","406-6755337-5945950","INR","570.48","0.00","0.00","UJJAIN","MADHYA PRADESH","456010"
