"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2026-08-05T23:58:53+05:30","1786YKDBLUE-XXL","X0029V8GYN","B0F3DKHQVR","BLR7","1","407-7779827-4573926","INR","875.24","38.10","0.00","GURUGRAM","HARYANA","122011"
"2026-08-05T23:58:47+05:30","1738YKDWHITE-5XL","X002CQLCD7","B0FH6YX3VL","MAA4","1","171-1231486-9460321","INR","884.76","0.00","0.00","Chennai","TAMIL NADU","600116"
"2026-08-05T23:58:47+05:30","1809YKDYELLOW-6XL","X002DVO90J","B0FN7R1GLJ","MAA4","1","171-1231486-9460321","INR","1265.72","0.00","0.00","Chennai","TAMIL NADU","600116"
"2026-08-05T23:56:49+05:30","5037YKPINK-M","X00291PHEP","B0DZC86Z7H","BLR7","1","171-1489329-3969949","INR","494.28","0.00","0.00","Bengaluru","KARNATAKA","560039"
"2026-08-05T23:56:03+05:30","1967YKPINK-L","X002MFM3D1","B0H64P19PL","BOM7","1","404-4937621-1377113","INR","475.24","0.00","0.00","PUNE","MAHARASHTRA","411028"
"2026-08-05T23:55:45+05:30","1158YKGREEN-XL","X0018EJ2JP","B08HHCRCZ5","MAA4","1","405-0439049-5306724","INR","646.66","0.00","0.00","CHENNAI","TAMIL NADU","600100"
"2026-08-05T23:54:06+05:30","1252DPT28GREEN-L","X0027WIVFN","B0DT4LPRD8","BLR8","1","403-5181383-5854703","INR","913.34","4.53","0.00","BENGALURU","KARNATAKA","560093"
"2026-08-05T23:53:59+05:30","67-YK83INDIGO-S","X000UBO6C5","B07CJH8YHR","BOM5","1","403-6717942-5752348","INR","446.66","0.00","0.00","Vasai Virar","MAHARASHTRA","401208"
"2026-08-05T23:53:50+05:30","1904YKPINK-6XL","X002AWGAHV","B0F889TWK9","HYD8","1","171-5309303-8065951","INR","713.34","18.10","0.00","HYDERABAD","TELANGANA","500024"
"2026-08-05T23:51:50+05:30","313KD411BLUE-9-10","X002HC1RWH","B0GCZLLBW4","MAA4","1","406-6817760-4625124","INR","532.38","0.00","0.00","Chennai","TAMIL NADU","600013"
"2026-08-05T23:51:46+05:30","1189PLYKMAROON-5XL","X001DHUJ71","B09261597H","BOM7","1","402-0767193-6912345","INR","799.05","0.00","0.00","HYDERABAD","TELANGANA","500091"
"2026-08-05T23:50:50+05:30","5047YKPASTELBLUE-XL","X002GIEA49","B0G3X1BK6H","DED4","1","403-4030404-1995566","INR","513.33","0.00","0.00","NEW DELHI","DELHI","110077"
"2026-08-05T23:49:02+05:30","1540PLYKGREEN-XXL","X001URI75F","B0CGV8Y1ZC","DED4","1","405-6782154-7811506","INR","713.33","0.00","0.00","WEST DELHI","DELHI","110058"
"2026-08-05T23:47:46+05:30","1556YKGREEN-XS","X00271912L","B0DQ83WJPM","PNQ3","1","402-4531594-5072344","INR","446.66","0.00","0.00","PUNE","MAHARASHTRA","411036"
"2026-08-05T23:46:55+05:30","1602PLYKLAVENDER-3XL","X001VZUXMB","B0CL488NWR","BLR7","1","407-1895600-4681148","INR","513.34","18.10","0.00","BENGALURU","KARNATAKA","560098"
"2026-08-05T23:46:55+05:30","1303YKBLACK-S","X001F7T49X","B097R5K45J","BLR7","1","407-7397329-5132329","INR","541.90","38.10","0.00","MADURAI","TAMIL NADU","625014"
"2026-08-05T23:46:53+05:30","5034YKOFFWHITE-XXL","X001X2WIUH","B0CPJ1DS8G","DEL4","1","407-0819651-7653935","INR","541.90","0.00","0.00","HANSI","HARYANA","125033"
"2026-08-05T23:46:52+05:30","1562YKGREEN-L","X001VFBFD7","B0CJFQ956N","PNQ3","1","408-6869599-4338751","INR","522.86","0.00","0.00","HYDERABAD","TELANGANA","500050"
"2026-08-05T23:44:31+05:30","1529PLYKWINE-8XL","X00232HHT3","B0D9NZ4B63","BLR7","1","407-3948701-7348367","INR","865.71","38.10","0.00","PUDUKKOTTAI","TAMIL NADU","622404"
"2026-08-05T23:44:31+05:30","224PLYK148BNDJ-8XL","X0022GNNCP","B0D7W52K7X","BLR7","1","407-3948701-7348367","INR","856.19","38.10","0.00","PUDUKKOTTAI","TAMIL NADU","622404"
"2026-08-05T23:44:31+05:30","311PLYK148BBNDJ-8XL","X0024WU46F","B0DHCZPM2N","BLR7","1","407-3948701-7348367","INR","856.19","38.10","0.00","PUDUKKOTTAI","TAMIL NADU","622404"
"2026-08-05T23:43:45+05:30","190PLYK214MEHROON-4XL","X001BETX7N","B08SQH2NCD","MAA4","1","404-6427419-7247503","INR","0.00","0.00","0.00","CHENNAI","TAMIL NADU","600095"
"2026-08-05T23:42:52+05:30","5039YKTEAL-M","X0028ZDZ87","B0DZ21SPFQ","BLR8","1","406-3228163-6246750","INR","494.28","0.00","0.00","BENGALURU","KARNATAKA","560035"
"2026-08-05T23:42:50+05:30","1904YKPINK-XL","X002AWJNUH","B0F887ZD72","HYD8","1","408-3245204-7786718","INR","618.10","0.00","0.00","Sai sagar Enclave, Manovikas nagar, Secunderabad","TELANGANA","500015"
"2026-08-05T23:40:57+05:30","1310PLYKBLUE-3XL","X001G7GOSV","B09HKD1JM4","HYD8","1","408-0393396-2252330","INR","799.05","38.10","0.00","HOWRAH","WEST BENGAL","711103"
"2026-08-05T23:40:48+05:30","1188YKPINK-XL","X0018YK4IN","B08HHCQQF1","MAA4","1","406-1921375-7009963","INR","741.90","18.10","0.00","Chennai","TAMIL NADU","600017"
"2026-08-05T23:38:54+05:30","141PLYK251PINK-4XL","X00149KR6L","B08292KQZH","BLR7","1","403-9635057-4025928","INR","627.62","0.00","0.00","HYDERABAD","TELANGANA","500097"
"2026-08-05T23:36:56+05:30","1966YKYELLOW-XL","X002MFONW5","B0H64VN8YQ","BLR8","1","406-0485285-7466722","INR","475.24","9.04","0.00","Bengaluru","KARNATAKA","560100"
"2026-08-05T23:36:56+05:30","1968YKBLACK-XL","X002MFK48R","B0H655QFTG","BLR8","1","406-0485285-7466722","INR","475.24","9.04","0.00","Bengaluru","KARNATAKA","560100"
"2026-08-05T23:36:02+05:30","6025SKDPURPLE-3XL","X002HL4Z8L","B0GGB95PCB","DEL5","1","402-6218671-5671553","INR","1199.05","0.00","0.00","JAIPUR","RAJASTHAN","302013"
"2026-08-05T23:35:56+05:30","1505YKORANGE-L","X001SVCV5P","B0C89QN86W","BOM5","1","407-7727195-8666713","INR","313.33","38.10","0.00","RAIPUR","CHHATTISGARH","492007"
"2026-08-05T23:33:55+05:30","1960YKTEAL-XXL","X002GACZ71","B0G2JJQX5N","BLR7","1","403-5284837-5661108","INR","722.86","18.10","0.00","BENGALURU","KARNATAKA","560043"
"2026-08-05T23:31:46+05:30","1529KDWINE-13-14","X002H4MITL","B0G9J4J8KF","MAA4","1","404-8975337-3177969","INR","0.00","0.00","0.00","Puducherry","PUDUCHERRY","605008"
"2026-08-05T23:29:50+05:30","1293YKMAROON-L","X001CZZ9CJ","B092R2R3R3","PNQ3","1","404-6648645-7102745","INR","780.00","0.00","0.00","AURANGABAD","MAHARASHTRA","431001"
"2026-08-05T23:28:51+05:30","1414PLYKGREY-3XL","X001NOLX2T","B0BJ2ZG3TB","DEL4","1","171-1235429-3354758","INR","827.62","38.10","0.00","Kolkata","WEST BENGAL","700066"
"2026-08-05T23:26:42+05:30","1391PLYKBLUE-5XL","X001NOO50L","B0BJ31GXN6","BOM7","1","404-8356627-7841145","INR","0.00","0.00","0.00","PUNE","MAHARASHTRA","411012"
"2026-08-05T23:20:53+05:30","1895YKDGREY-4XL","X002CNZ5UL","B0FH2NT82X","BLR8","1","404-0920814-4755564","INR","0.00","0.00","0.00","SALEM","TAMIL NADU","636006"
"2026-08-05T23:18:52+05:30","7099YKBROWN-L","X002GON7GF","B0G4RB5NG2","LKO1","1","404-7706754-7485958","INR","418.10","0.00","0.00","Lucknow","UTTAR PRADESH","226001"
"2026-08-05T23:17:48+05:30","1605YKBLUE-5XL","X001Z1Z3H1","B0CWY17L89","CCX2","1","405-1739221-2115527","INR","722.86","0.00","0.00","KOLKATA","WEST BENGAL","700008"
"2026-08-05T23:16:57+05:30","1127YKMAROON-XXL","X0017NEQW5","B085ZWXWQ6","BLR7","1","402-4149020-8226755","INR","837.14","38.10","0.00","TIRUNELVELI","TAMIL NADU","627002"
"2026-08-05T23:16:51+05:30","5014YKMAROON-M","X001A8MN3L","B08CSMRF2H","BOM5","1","406-5799093-5586724","INR","475.24","38.10","0.00","SIPCOT PERUNDURAI","TAMIL NADU","638051"
"2026-08-05T23:14:01+05:30","1968YKBLACK-3XL","X002MFNEXJ","B0H64S86SR","HYD8","1","171-7181388-4868301","INR","522.86","38.10","0.00","Mumbai","MAHARASHTRA","400064"
"2026-08-05T23:12:50+05:30","1683YKBLUE-4XL","X002DBKH73","B0FKT5QWS2","MAA4","1","403-5567002-0049156","INR","884.76","75.24","0.00","CHENNAI","TAMIL NADU","600072"
"2026-08-05T23:12:50+05:30","5010YKWHITE-6XL","X0026R0VGL","B0DPHJBQ9Z","BOM5","1","403-8362712-0165153","INR","589.52","18.10","0.00","Mumbai","MAHARASHTRA","400068"
"2026-08-05T23:10:44+05:30","5007YKBLACK-5XL","X001W0CS7X","B0CL4Y4CR7","CCX2","1","404-2588144-0209928","INR","513.34","0.00","0.00","BIDHAN NAGAR","WEST BENGAL","700064"
"2026-08-05T23:10:44+05:30","5007YKBLACK-5XL","X001W0CS7X","B0CL4Y4CR7","CCX2","1","404-2588144-0209928","INR","513.34","0.00","0.00","BIDHAN NAGAR","WEST BENGAL","700064"
"2026-08-05T23:09:49+05:30","1457PLYKPINK-XXL","X001VV98E9","B0CKT61HSK","MAA4","1","403-2060086-4359548","INR","770.48","0.00","0.00","CHENNAI","TAMIL NADU","600055"
"2026-08-05T23:03:49+05:30","1373YKPINK-3XL","X001UW5HPN","B0CGVK25H2","BOM7","1","402-4879206-9432306","INR","475.24","18.10","0.00","NAVI MUMBAI","MAHARASHTRA","410210"
"2026-08-05T22:56:50+05:30","1472PLYKGREEN-XXL","X001WJU09R","B0CN13ZZ95","DEL5","1","171-6657355-2797139","INR","903.81","38.10","0.00","PATNA","BIHAR","801503"
"2026-08-05T22:55:45+05:30","1048YKBLUE-3XL","X002DYV5NF","B0FNN636RK","DEL5","1","404-1353812-2583558","INR","0.00","0.00","0.00","PATNA","BIHAR","800016"
"2026-08-05T22:53:45+05:30","7097YKBLUE-M","X002GOLXJD","B0G4R8CWB3","GAX1","1","405-9147613-7066758","INR","418.10","0.00","0.00","GUWAHATI","ASSAM","781034"
"2026-08-05T22:50:50+05:30","1522PLYKMUSTARD-7XL","X002E9532N","B0FPR4R4DZ","CCX1","1","402-1669349-7348300","INR","960.96","0.00","0.00","Serampore","WEST BENGAL","712203"
"2026-08-05T22:38:48+05:30","1968YKBLACK-XL","X002MFK48R","B0H655QFTG","DEL5","1","405-4530360-7507554","INR","475.24","0.00","0.00","KOSAMBA","GUJARAT","394120"
"2026-08-05T22:37:58+05:30","1341YKGREEN-4XL","X001QWZWAR","B0BZL7ZF2Y","BLR8","1","407-8333310-4989126","INR","541.90","0.00","0.00","BENGALURU","KARNATAKA","560046"
"2026-08-05T22:37:58+05:30","1556YKGREEN-3XL","X001VG2LWZ","B0CJ2HTR63","BLR8","1","407-8333310-4989126","INR","475.24","0.00","0.00","BENGALURU","KARNATAKA","560046"
"2026-08-05T22:37:58+05:30","AK-228BLACK-4XL","X002F3KQ4D","B0FTMG4Q8Q","BLR8","1","407-8333310-4989126","INR","475.24","0.00","0.00","BENGALURU","KARNATAKA","560046"
"2026-08-05T22:37:48+05:30","1540PLYKGREEN-4XL","X001URKCWB","B0CGV9W653","BLR7","1","402-2070539-6334757","INR","713.33","0.00","0.00","CHENNAI","TAMIL NADU","600011"
"2026-08-05T22:24:50+05:30","5037YKPINK-L","X00291PK6Z","B0DZCC8J5X","DEL4","1","405-5228777-8199500","INR","494.29","0.00","0.00","NEW DELHI","DELHI","110092"
"2026-08-05T22:22:49+05:30","5040YKBEIGE-S","X002B5JW0J","B0F91T5H2Y","BLR7","1","402-5822764-3803516","INR","494.28","0.00","0.00","DHARWAD","KARNATAKA","580008"
"2026-08-05T22:13:50+05:30","1473YKWHITE-XL","X001Q35VFR","B0BVRHMSTK","BLR8","1","171-6039393-8740368","INR","389.52","18.10","0.00","BENGALURU","KARNATAKA","560087"
"2026-08-05T22:08:52+05:30","1162YKMAROON-XL","X0017LPBJT","B08DHX5NXL","BLR7","1","406-5381632-4071541","INR","446.66","0.00","0.00","Bengaluru","KARNATAKA","560050"
"2026-08-05T22:07:52+05:30","226PLYK346GREEN-7XL","X0029U3JE1","B0F38NVTNX","BLR7","1","406-2501091-8855557","INR","732.38","0.00","0.00","HYDERABAD","TELANGANA","500049"
"2026-08-05T22:06:46+05:30","1379YKGREEN-S","X001JFG6KB","B09QX48YNL","BLR7","1","404-9308023-3345912","INR","0.00","0.00","0.00","Bengaluru","KARNATAKA","560109"
"2026-08-05T22:05:45+05:30","4010DRSMULTI-XL","X002KB2ZNP","B0GX9ZBXW4","MAA4","1","407-1662448-6185906","INR","408.58","9.04","0.00","Chennai","TAMIL NADU","600044"
"2026-08-05T22:04:54+05:30","1532YKBLUE-5XL","X0028IH7F1","B0DWX71F7P","BOM7","1","402-6585262-1881103","INR","475.24","0.00","0.00","PUNE","MAHARASHTRA","411028"
"2026-08-05T22:03:52+05:30","5033YKBEIGE-XXL","X001X2U4WB","B0CPHZW59H","BLR8","1","402-2649356-3077904","INR","541.90","0.00","0.00","BENGALURU","KARNATAKA","560035"
"2026-08-05T22:03:49+05:30","1127YKMAROON-XXL","X0017NEQW5","B085ZWXWQ6","CCX1","1","403-1282054-9632362","INR","837.14","0.00","0.00","DHANBAD","JHARKHAND","826005"
"2026-08-05T22:00:54+05:30","7014YKBLSMAROON-XL","X001WDMD6B","B0CM9KLSQ6","MAA4","1","171-8990673-9550750","INR","503.80","0.00","0.00","CHENNAI","TAMIL NADU","600026"
"2026-08-05T21:59:45+05:30","1589YKORANGE-XXL","X001VPOPZ7","B0CKBNV5LC","CCX2","1","171-3230332-6655508","INR","475.24","0.00","0.00","NORTH 24 PARGANAS, kolkata","WEST BENGAL","700135"
"2026-08-05T21:57:43+05:30","7101YKGREEN-M","X002ISEV37","B0GPWHRYTB","HYD8","1","404-9340340-9149129","INR","0.00","0.00","0.00","BHUBANESWAR","ODISHA","751030"
"2026-08-05T21:55:46+05:30","1785YKRED-XL","X002CWW9JH","B0FHWBF2MP","LDX1","1","171-6497216-3540354","INR","675.24","0.00","0.00","Mandi","HIMACHAL PRADESH","175001"
"2026-08-05T21:54:50+05:30","1625YKBLACK-XL","X002077DZJ","B0D1PX68Z7","BLR8","1","405-0818833-1052359","INR","808.58","18.10","0.00","BENGALURU","KARNATAKA","560099"
"2026-08-05T21:50:50+05:30","1683YKBLUE-L","X0024JCUC9","B0DGQGTGWC","BLR8","1","408-3178594-3717144","INR","856.20","0.00","0.00","BENGALURU","KARNATAKA","560068"
"2026-08-05T21:50:45+05:30","5041YKBOTTELGREEN-XL","X002A67IRD","B0F4RCXHJ1","MAA4","1","408-7465554-5999527","INR","475.24","18.10","0.00","CHENNAI","TAMIL NADU","600078"
"2026-08-05T21:44:51+05:30","5040YKBEIGE-XL","X002B5GCHF","B0F91SSBGC","BOM5","1","406-8696734-5628350","INR","494.28","0.00","0.00","Mumbai","MAHARASHTRA","400005"
"2026-08-05T21:42:57+05:30","1753YKGREEN-3XL","X0025PRBYT","B0DKFSPFXT","HYD8","1","404-7562403-9661103","INR","1170.48","0.00","0.00","HYDERABAD","TELANGANA","500014"
"2026-08-05T21:41:50+05:30","4011DRSBLUE-S","X002EMNQL5","B0FRGBS7PS","HYD8","1","405-0964301-9118722","INR","360.95","0.00","0.00","BENGALURU","KARNATAKA","560075"
"2026-08-05T21:35:49+05:30","1785PLYKRED-5XL","X002CWXFVD","B0FHWMFVRM","HYD8","1","405-1739221-2115527","INR","713.33","0.00","0.00","KOLKATA","WEST BENGAL","700008"
