"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"SHIPPED","316396650838677568_1","277044531","2026-08-05","","Tripura","YASH GALLERY Women's Cotton Slub Solid Straight Kurta with Ajarak Printed Palazzo Set (Maroon)","1893765006","L","1","759.0","752.0","TNG052669362034"
"READY_TO_SHIP","316407916298885504_1","277044531","2026-08-05","","Karnataka","YASH GALLERY Women's Cotton Slub Solid Straight Kurta with Ajarak Printed Palazzo Set (Maroon)","1893765006","S","1","759.0","745.0",
"CANCELLED","316411009866455104_1","170161698","2026-08-05","","West Bengal","YASH GALLERY Women's Cotton Tie & Dye Printed Anarkali Kurta (Orange)","1300YKNORANGE","L","1","739.0","732.0",
"READY_TO_SHIP","316415859635378496_1","170163270","2026-08-05","","Bihar","YASH GALLERY Women's Floral Printed Anarkali Kurti (Blue)","1343YKNBLUE","XXL","1","629.0","629.0",
"READY_TO_SHIP","316421507118848065_1","138456446","2026-08-05","","Tamil Nadu","Yash Gallery Women's Polyester Bat Sleeve Maxi Dress V-neck Tassel Summer Boho Dress (Pink)","1730YKPINK","S","1","455.0","455.0",
"READY_TO_SHIP","316422526725771969_1","112002849","2026-08-05","","Delhi","Yash Gallery Women's Floral Round Neck Black Tops & Tunics","1336YKBLACK","6XL","1","549.0","544.0",
"READY_TO_SHIP","316432947284334788_1","118373728","2026-08-05","","Gujarat","Yash Gallery Women's Floral Mandarin Pink Kurtis & Kurtas","1507PLYKPINK","4XL","1","655.0","643.0",
"READY_TO_SHIP","316433134740429187_1","138461175","2026-08-05","","Delhi","Yash Gallery Men's Cotton Warli Print Regular Shirt (Offwhite )","1777YKOFFWHITE","4XL","1","493.0","480.0",
"HOLD","316445570180634816_1","126774982","2026-08-05","","Uttar Pradesh","Yash Gallery Women's Botanical Round Neck Maroon Blouses","7014YKBLSMAROON","50","1","460.0","456.0",
"CANCELLED","316448771949712064_1","240903225","2026-08-05","","Madhya Pradesh","Yash Gallery Women?s Cotton Geometric Printed A-Line Kurta with Pants Set (Green)","1946YKGREEN","4XL","1","849.0","841.0",
"HOLD","316449763989706816_1","115960492","2026-08-05","","Maharashtra","Yash Gallery Women's Solid Surplice Yellow Kurtis & Kurtas","165YK251MUSTRAD","S","1","553.0","537.0",
"READY_TO_SHIP","316451525832333632_1","115960492","2026-08-05","","Uttar Pradesh","Yash Gallery Women's Solid Surplice Yellow Kurtis & Kurtas","165YK251MUSTRAD","XXL","1","586.0","570.0",
"READY_TO_SHIP","316454974665906560_1","147731368","2026-08-05","","Gujarat","Yash Gallery Women's Cotton Titan Solid Coat Collar Top (Pink)","1806YKPINK","XXXL","1","459.0","455.0",
"READY_TO_SHIP","316455379085808320_1","122623936","2026-08-05","","Madhya Pradesh","Yash Gallery Women's Floral Round Neck Black Blouses","7031YKBLS","40","1","460.0","450.0",
"READY_TO_SHIP","316476100101001920_1","230181650","2026-08-05","","West Bengal","Yash Gallery Women?s Cotton Printed Kurta with Button Detail, Printed Pants & Matching Printed Dupatta Round Neck, 3/4 Sleeves (Blue)","6007SKDBLUE","XL","2","990.0","990.0",
"READY_TO_SHIP","316483293554660032_1","147727302","2026-08-05","","Karnataka","YASH GALLERY Women's Cotton & Cotton Slub Ikat Printed Anarkali Kurta ","1266PLYKNBLUE","5XL","1","669.0","669.0",
"CANCELLED","316490151573050048_1","132574990","2026-08-05","","Tamil Nadu","YASH GALLERY Women's Plus Size Rayon Golden Buti Printed A-line Kurta ","1130PLYKCPURPLE","6XL","1","690.0","690.0",
"READY_TO_SHIP","316498072649455936_1","115960492","2026-08-05","","Madhya Pradesh","Yash Gallery Women's Solid Surplice Yellow Kurtis & Kurtas","165YK251MUSTRAD","L","1","553.0","537.0",
"READY_TO_SHIP","316498690001588928_1","193362283","2026-08-05","","Odisha","Yash Gallery Women's  Maroon Cotton  Floral Printed Mid Thigh Length  3/4th Sleeve  Mandarin Collar Regular Fitted Short Kurti","1695YKMAROON","6XL","1","549.0","539.0",
