"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"READY_TO_SHIP","316283491117368000_1","293046056","2026-08-05","","Delhi","Women's Solid Surplice Yellow Kurtis & Kurtas","1206813555","S","1","511.0","511.0",
"SHIPPED","316292497529426496_1","226738049","2026-08-05","","West Bengal","Women's Cotton Slub Patch Work Angrakha Kurta (Blue)","166YKC251BLUE","S","1","511.0","511.0","TNG122598425984"
"SHIPPED","316298972947168448_1","293046056","2026-08-05","","Delhi","Women's Solid Surplice Yellow Kurtis & Kurtas","1206813555","XL","1","511.0","511.0","TNG1225101383378"
"SHIPPED","316317136150012672_1","449692756","2026-08-05","","Uttar Pradesh","White Floral Kurta Set with Dupatta","1254149748","XXL","1","910.0","900.0","TNG122598428000"
"SHIPPED","316358743889336525_1","3387295","2026-08-05","","Rajasthan","Anarkali embroidry work Flared Embroidered kurti blue cotton for women","1096YKBLUE","M","1","647.0","647.0","TNG122598427902"
"SHIPPED","316358743889336525_2","10394190","2026-08-05","","Rajasthan","Akiko PLUS SIZE Rayon Floral Print Anarkali Kurta","1255PLYKMAROON","L","1","658.0","658.0","TNG122598427903"
"READY_TO_SHIP","316407284116609344_1","39192450","2026-08-05","","Odisha","Akiko  Women's Cotton Slub Patch Work Angrakha Kurta (Blue)","167YKN251BLACK","XL","1","501.0","501.0",
"READY_TO_SHIP","316416321856983744_1","17221494","2026-08-05","","Tamil Nadu","AKIKO Women's Rayon Floral Print Anarkali Kurti(Multi) Black","1325YKMULTI","M","1","769.0","769.0",
"CANCELLED","316416764816447680_1","10389314","2026-08-05","","Kerala","Akiko Women's Plus Size Cotton Chevron Print Kaantha Work A-line Kurta (Blue)","1006PLYKBLUE","7XL","1","625.0","625.0",
"READY_TO_SHIP","316428217875224768_1","226738034","2026-08-05","","Karnataka","Women's Cotton Floral Printed Pintucks Anarkali Kurta (Blue)","1330YKCBLUE","XS","1","597.0","597.0",
"CANCELLED","316430643382507584_1","226738049","2026-08-05","","Telangana","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXXL","1","544.0","544.0",
"READY_TO_SHIP","316432459943958722_1","220795742","2026-08-05","","Odisha","Women's Printed Rayon  Calf Length Stand Collar  3/4th SleeveWith Lace Detailing  Anarkli Kurta  (Blue)","1775YKCBLUE","XXL","1","729.0","729.0",
"READY_TO_SHIP","316433271869920000_1","293046056","2026-08-05","","Delhi","Women's Solid Surplice black Kurtis & Kurtas","1267248196","7XL","1","621.0","621.0",
"READY_TO_SHIP","316435075127038720_1","34736767","2026-08-05","","Uttar Pradesh","kurtis","1172PLYKNOLIVE","4XL","1","515.0","510.0",
"CANCELLED","316443169156485888_1","293046056","2026-08-05","","West Bengal","Women's Solid Surplice Blue Kurtis & Kurtas","166YK-251BLUE","XXL","1","544.0","544.0",
"READY_TO_SHIP","316449058230949952_1","3862755","2026-08-05","Ad order","Uttar Pradesh","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","S","1","511.0","506.0",
"READY_TO_SHIP","316450361972609793_1","34531865","2026-08-05","","Madhya Pradesh","AKIKO Women's Plus Size Cotton Slub gown","1158PLYKNGREEN","4XL","1","583.0","583.0",
"READY_TO_SHIP","316456205912168640_1","17221502","2026-08-05","","Bihar","AKIKO Women's Rayon Zig-Zag Gold Print Anarkali Kurti (Orange)","1306YKORANGE","4XL","1","593.0","588.0",
"READY_TO_SHIP","316456973852463872_1","226738049","2026-08-05","Ad order","Tamil Nadu","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XL","1","511.0","511.0",
"CANCELLED","316457698724664064_1","38457600","2026-08-05","","Andhra Pradesh","AKIKO Women's Cotton Slub Patch Work Angrakha Kurta (Blue)","166PLYKN251BLUE","XL","1","511.0","511.0",
"READY_TO_SHIP","316460826203247296_1","227650397","2026-08-05","","West Bengal"," Women's Cotton Ankle Length Notch Neck Full Sleeves Floral Print Anarkali With Pant And Duptta (Yellow)","1809YKCDYELLOW","S","1","970.0","960.0",
"HOLD","316462766231443648_1","226738049","2026-08-05","","Maharashtra","Women's Cotton Slub Patch Work Angrakha Kurta (Black)","167YKC251BLACK","M","1","511.0","511.0",
"READY_TO_SHIP","316464440970893376_1","3862755","2026-08-05","","Uttar Pradesh","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","XL","1","511.0","501.0",
"CANCELLED","316473854314535232_1","226738049","2026-08-05","Ad order","Bihar","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXXL","1","544.0","544.0",
"READY_TO_SHIP","316473786241897152_1","221295961","2026-08-05","","Tamil Nadu","Akiko Women's Rayon Ikat Printed Anarkali Kurta (Blue)","1592YKCBLUE","XXXL","1","641.0","641.0",
"READY_TO_SHIP","315410299020000320_1","3862755","2026-08-05","","Rajasthan","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","M","1","476.0","476.0",
"READY_TO_SHIP","316495889413560705_1","226738049","2026-08-05","Ad order","Uttarakhand","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXXL","1","544.0","539.0",
"READY_TO_SHIP","316497350701601536_1","226738049","2026-08-05","Ad order","Bihar","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","S","1","511.0","511.0",
"READY_TO_SHIP","316499857737765568_1","10394191","2026-08-05","","West Bengal","Akiko PLUS SIZE Cotton Floral Print Anarkali Kurta","1224PLYKPINK","XXXL","1","709.0","702.0",
"READY_TO_SHIP","316500754404463360_1","293046056","2026-08-05","","Himachal Pradesh","Women's Solid Surplice Yellow Kurtis & Kurtas","1206813555","S","1","511.0","511.0",
"READY_TO_SHIP","316503272848152640_1","227051416","2026-08-05","","Uttar Pradesh","Women's Floral Printed Anarkali Kurti (White)","1437YKCWHITE","XL","1","626.0","626.0",
"READY_TO_SHIP","316505025597462720_1","226738049","2026-08-05","Ad order","Madhya Pradesh","Women's Cotton Slub Angrakha  Anarkali Kurta (Teal)","315YKC251TEAL","XXXL","1","544.0","544.0",
"READY_TO_SHIP","316506279401739008_1","17221504","2026-08-05","","West Bengal","AKIKO Women's Rayon Ikat Printed Anarkali Kurta White","1258YKWHITE","XXXL","1","658.0","658.0",
"READY_TO_SHIP","316506331162728832_1","3862755","2026-08-05","","Uttar Pradesh","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","L","1","511.0","501.0",
"READY_TO_SHIP","316518689243191360_1","226738034","2026-08-05","","Tamil Nadu","Women's Cotton Floral Printed Pintucks Anarkali Kurta (Blue)","1330YKCBLUE","XL","1","647.0","647.0",
"READY_TO_SHIP","316526972906492672_1","3862755","2026-08-05","Ad order","Tamil Nadu","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","M","1","501.0","496.0",
"READY_TO_SHIP","316531155965563648_1","10389312","2026-08-05","","Kerala","Akiko Women's Plus Size Rayon Geometric Print  Embroidered  Anarkali Kurta (Black)","1007PLYKBLACK","8XL","1","819.0","819.0",
"READY_TO_SHIP","316533282255393472_1","3862755","2026-08-05","Ad order","Chhattisgarh","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","5XL","1","544.0","539.0",
"READY_TO_SHIP","316533638560536772_1","227684486","2026-08-05","","Rajasthan","Women's Cotton Floral Printed Regular Blouse (Blue)","7032YKCBLS","L","1","450.0","450.0",
"READY_TO_SHIP","316554523916949696_1","10394187","2026-08-05","","Assam","Akiko Women's Plus Size Cotton Slub Angrakha Style Anarkali Kurta (Pink)","141PLYK251PINK","M","1","511.0","511.0",
"CANCELLED","316570080955455808_1","226738034","2026-08-05","","Kerala","Women's Cotton Floral Printed Pintucks Anarkali Kurta (Blue)","1330YKCBLUE","6XL","1","749.0","749.0",
"READY_TO_SHIP","316572851671569152_1","226738049","2026-08-05","Ad order","Kerala","Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XL","1","511.0","511.0",
"READY_TO_SHIP","314813508600320640_1","293046056","2026-08-05","","West Bengal","Women's Solid Surplice Yellow Kurtis & Kurtas","1206813555","XL","1","544.0","544.0",
"READY_TO_SHIP","316592812358552001_1","217530227","2026-08-05","","Karnataka","Women cotton embroidery kurta for women daily use kurta for women festive kurta for women","1096YKCBLUE","XXXL","1","679.0","679.0",
"READY_TO_SHIP","316593173388188032_1","301196556","2026-08-05","","Uttar Pradesh","Women?s Lycra Comfortable Stretch Fit V-Neck Elbow Sleeve Saree Blouse","7099YKBROWN","L","1","350.0","343.0",
"READY_TO_SHIP","316594020868216902_1","226738034","2026-08-05","","Rajasthan","Women's Cotton Floral Printed Pintucks Anarkali Kurta (Blue)","1330YKCBLUE","XL","1","647.0","647.0",
"READY_TO_SHIP","316595932656486848_1","3862755","2026-08-05","","Bihar","Women Cotton Slub Angrakha Printed Mustard Kurti","165Y-K251MUSTRAD","S","1","511.0","506.0",
"READY_TO_SHIP","316605952287365184_1","3862556","2026-08-05","","Andhra Pradesh","AKIKO Women's Cotton Kalamkari Print Anarkali Kurta","190Y-K214MEHROON","XXXL","1","593.0","593.0",
"READY_TO_SHIP","316605944327475968_1","226738049","2026-08-05","","Haryana","Women's Cotton Slub Patch Work Angrakha Kurta (Teal)","193YKC251FIROZI","XXL","1","544.0","544.0",
"CANCELLED","316614530138233217_1","3841819","2026-08-05","","Bihar","AKIKO Women's Rayon Floral Printed Anarkali Kurta ","1253YKBLACK","XL","1","689.0","689.0",
"READY_TO_SHIP","313959025293907456_1","17221502","2026-08-05","","Tamil Nadu","AKIKO Women's Rayon Zig-Zag Gold Print Anarkali Kurti (Orange)","1306YKORANGE","XXXL","1","593.0","593.0",
"READY_TO_SHIP","316638795466070080_1","226290847","2026-08-05","","Uttar Pradesh","Women's Floral Printed Anarkali Kurta with Zig-Zag Printed Pant & Dupatta (Blue)","1636YKCBLUE","M","1","890.0","890.0",
"READY_TO_SHIP","316642505444739520_1","293046056","2026-08-05","","Chhattisgarh","Women's Solid Surplice Yellow Kurtis & Kurtas","1206813555","XXL","1","544.0","544.0",
