"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"SHIPPED","316326876502939968_1","226737357","2026-08-05","","West Bengal","IKRASS Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XL","1","553.0","553.0","TNG122598427990"
"SHIPPED","316364310968129926_1","217527113","2026-08-05","","Rajasthan","IKRASS Women's Rayon Geometric Print A-Line Kurta (pink)","108YKC148PINKRAY","M","1","680.0","680.0","TNG052669362068"
"SHIPPED","316364310968129926_2","220793491","2026-08-05","","Rajasthan","IKRASS Women's Rayon Floral Print Anarkali Kurta ","1254YKCBLUE","M","1","689.0","689.0","TNG052669362069"
"CANCELLED","316381820023068992_1","226737357","2026-08-05","","Telangana","IKRASS Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","M","1","553.0","553.0",
"SHIPPED","316403487038363987_1","220793501","2026-08-05","","Tamil Nadu","IKRASS Women's Rayon Floral Printed Anarkali Kurta ","1255YKCMAROON","S","1","658.0","658.0","TNG052669417899"
"READY_TO_SHIP","316418072806021504_1","3860093","2026-08-05","","Andhra Pradesh","IKRASS Women's Cotton Floral Printed Anarkali Kurta (Black)","1262YKNBLACK","XXL","1","699.0","693.0",
"CANCELLED","316418218251835584_1","494137","2026-08-05","","Madhya Pradesh","IKRASS Women's Attractive Cotton Kurti","1065YKBLUE","S","1","680.0","668.0",
"READY_TO_SHIP","316418623631382912_1","3760368","2026-08-05","","Andhra Pradesh","IKRASS Women's Cotton Kalamkari Print Anarkali Kurta","190Y_K214MEHROON","S","1","592.0","587.0",
"CANCELLED","316423450591615360_1","408872749","2026-08-05","","West Bengal","IKRASS Women?s Stretchable Lycra Blouse V-Neck Front Openable with Short Sleeves (Green)","1975595776","L","1","350.0","350.0",
"READY_TO_SHIP","316423633174778560_1","3760368","2026-08-05","","Karnataka","IKRASS Women's Cotton Kalamkari Print Anarkali Kurta","190Y_K214MEHROON","4XL","1","625.0","625.0",
"READY_TO_SHIP","316427267794065600_1","217558866","2026-08-05","","Haryana","IKRASS Women's Cotton Slub Regular Fit Casual Trouser Pants with Pocket (Blue)","5038YKCPOWDERBLUE","XL","1","415.0","415.0",
"READY_TO_SHIP","316428538500471168_1","245888481","2026-08-05","","Kerala","IKRASS Women's Pink Polyester Embroidered Anarkali Kurta (Pink)","1548YKCPINK","XXL","1","710.0","703.0",
"READY_TO_SHIP","316429955937063680_1","230867236","2026-08-05","","Karnataka","IKRASS Women?s Navy Blue Striped A-Line Short kurti with Front Button Placket, 3/4 Puff Sleeves & Elastic Waist ? Casual Daywear / Party Dress","1057YKNBLUE","5XL","1","455.0","451.0",
"READY_TO_SHIP","316430420774998720_1","307265608","2026-08-05","","Uttar Pradesh","IKRASS Women?s Wrinkle-Free Digital Print Collared Neck Top with 3/4 Sleeves & Matching Palazzo Pants Co-ords Set","1949YKPINK","S","1","592.0","582.0",
"READY_TO_SHIP","316433901023908608_1","230867236","2026-08-05","","Maharashtra","IKRASS Women?s Navy Blue Striped A-Line Short kurti with Front Button Placket, 3/4 Puff Sleeves & Elastic Waist ? Casual Daywear / Party Dress","1057YKNBLUE","5XL","1","455.0","451.0",
