OMS_SKU,2026-07-30
1001YKBEIGE-3XL,22
1001YKBEIGE-4XL,20
1001YKBEIGE-5XL,26
1001YKBEIGE-6XL,10
1001YKBEIGE-7XL,19
1001YKBEIGE-8XL,20
1001YKBEIGE-L,11
1001YKBEIGE-M,25
1001YKBEIGE-S,16
1001YKBEIGE-XL,23
1001YKBEIGE-XS,14
1001YKBEIGE-XXL,11
1002YKMUSTARD-L,0
1002YKMUSTARD-M,0
1002YKMUSTARD-S,0
1002YKMUSTARD-XL,-1
1002YKMUSTARD-XS,0
1002YKMUSTARD-XXL,0
1003DPT21MULTI-3XL,46
1003DPT21MULTI-4XL,67
1003DPT21MULTI-5XL,16
1003DPT21MULTI-6XL,6
1003DPT21MULTI-7XL,1
1003DPT21MULTI-8XL,5
1003DPT21MULTI-L,0
1003DPT21MULTI-M,4
1003DPT21MULTI-S,1
1003DPT21MULTI-XL,0
1003DPT21MULTI-XS,7
1003DPT21MULTI-XXL,1
1003KDMUSTARD-11-12,8
1003KDMUSTARD-13-14,4
1003KDMUSTARD-7-8,38
1003KDMUSTARD-9-10,12
1003SKDMUSTARD-L,0
1003SKDMUSTARD-M,4
1003SKDMUSTARD-S,1
1003SKDMUSTARD-XL,0
1003SKDMUSTARD-XXL,1
1003YK5027DPT21-L,0
1003YK5027DPT21-M,4
1003YK5027DPT21-S,1
1003YK5027DPT21-XL,0
1003YK5027DPT21-XXL,1
1003YKMUSTARD-3XL,54
1003YKMUSTARD-4XL,83
1003YKMUSTARD-5XL,27
1003YKMUSTARD-6XL,13
1003YKMUSTARD-7XL,7
1003YKMUSTARD-8XL,12
1003YKMUSTARD-L,3
1003YKMUSTARD-M,10
1003YKMUSTARD-S,4
1003YKMUSTARD-XL,4
1003YKMUSTARD-XS,13
1003YKMUSTARD-XXL,5
1004YKPINK-L,0
1004YKPINK-M,0
1004YKPINK-S,0
1004YKPINK-XL,0
1004YKPINK-XXL,0
1005YKBLUE-L,0
1005YKBLUE-M,0
1005YKBLUE-S,0
1005YKBLUE-XL,0
1005YKBLUE-XXL,0
1006KDBLUE-11-12,23
1006KDBLUE-13-14,13
1006KDBLUE-7-8,20
1006KDBLUE-9-10,22
1006YKBLUE-3XL,83
1006YKBLUE-4XL,126
1006YKBLUE-5XL,92
1006YKBLUE-6XL,61
1006YKBLUE-7XL,46
1006YKBLUE-8XL,27
1006YKBLUE-L,47
1006YKBLUE-M,38
1006YKBLUE-S,75
1006YKBLUE-XL,50
1006YKBLUE-XS,15
1006YKBLUE-XXL,64
1007YKBLACK-3XL,96
1007YKBLACK-4XL,43
1007YKBLACK-5XL,205
1007YKBLACK-6XL,127
1007YKBLACK-7XL,87
1007YKBLACK-8XL,35
1007YKBLACK-L,49
1007YKBLACK-M,98
1007YKBLACK-S,130
1007YKBLACK-XL,61
1007YKBLACK-XS,74
1007YKBLACK-XXL,63
1008YKBLUE-L,0
1008YKBLUE-M,0
1008YKBLUE-S,0
1008YKBLUE-XL,0
1008YKBLUE-XXL,0
1009YKYELLOW-L,1
1009YKYELLOW-M,0
1009YKYELLOW-S,0
1009YKYELLOW-XL,0
1009YKYELLOW-XXL,0
100YK130BLACK-L,0
100YK130BLACK-M,0
100YK130BLACK-S,0
100YK130BLACK-XXL,0
1010YKBLUE-L,0
1010YKBLUE-M,0
1010YKBLUE-S,0
1010YKBLUE-XL,0
1010YKBLUE-XXL,0
1011YKGREEN-L,0
1012YKPINK-3XL,77
1012YKPINK-4XL,88
1012YKPINK-5XL,70
1012YKPINK-L,136
1012YKPINK-M,92
1012YKPINK-S,84
1012YKPINK-XL,166
1012YKPINK-XS,68
1012YKPINK-XXL,133
1013YKBROWN-XL,0
1014YKAZKBLE-M,1
1014YKAZKBLE-S,1
1014YKAZKBLUE-L,0
1014YKAZKBLUE-M,0
1014YKAZKBLUE-S,0
1014YKAZKBLUE-XL,0
1015YKMULTIGREEN-M,0
1015YKMULTIGREEN-XL,0
1015YKMULTIGREEN-XXL,0
1016YKMULTIPRINT-L,0
1016YKMULTIPRINT-M,0
1016YKMULTIPRINT-S,0
1016YKMULTIPRINT-XL,2
1018YKBROWN-L,5
1018YKBROWN-M,3
1018YKBROWN-S,8
1018YKBROWN-XL,0
1018YKBROWN-XXL,0
1019YKGREY-L,0
1019YKGREY-M,0
1020YKBLUE-L,0
1020YKBLUE-M,0
1020YKBLUE-XL,0
1020YKBLUE-XXL,0
1021YKRGREEN-L,0
1021YKRGREEN-M,0
1021YKRGREEN-S,0
1021YKRGREEN-XL,0
1021YKRGREEN-XXL,0
1022YKRGREEN-L,0
1022YKRGREEN-M,0
1022YKRGREEN-S,0
1022YKRGREEN-XL,0
1022YKRGREEN-XXL,0
1023YKPBLUE-3XL,126
1023YKPBLUE-4XL,71
1023YKPBLUE-5XL,124
1023YKPBLUE-6XL,47
1023YKPBLUE-7XL,48
1023YKPBLUE-8XL,54
1023YKPBLUE-L,507
1023YKPBLUE-M,318
1023YKPBLUE-S,451
1023YKPBLUE-XL,297
1023YKPBLUE-XS,132
1023YKPBLUE-XXL,206
1024YKMUSTARD-3XL,15
1024YKMUSTARD-4XL,0
1024YKMUSTARD-5XL,0
1024YKMUSTARD-6XL,1
1024YKMUSTARD-7XL,0
1024YKMUSTARD-8XL,0
1024YKMUSTARD-L,33
1024YKMUSTARD-M,15
1024YKMUSTARD-S,12
1024YKMUSTARD-XL,2
1024YKMUSTARD-XS,9
1024YKMUSTARD-XXL,26
1025YKSKY-L,0
1025YKSKY-M,0
1025YKSKY-S,3
1025YKSKY-XL,0
1025YKSKY-XXL,0
1026YKOFFWHITE-L,0
1026YKOFFWHITE-M,0
1026YKOFFWHITE-S,0
1026YKOFFWHITE-XXL,0
1027YKGREY-L,0
1027YKGREY-M,0
1027YKGREY-S,0
1027YKGREY-XL,0
1028YKBLACK-L,0
1028YKBLACK-M,0
1028YKBLACK-S,0
1028YKBLACK-XL,0
1029YKBLUE-3XL,0
1029YKBLUE-L,0
1029YKBLUE-S,0
1029YKBLUE-XL,0
102YK131BROWN-XXL,0
1030YKBLACK-M,0
1030YKBLACK-S,0
1030YKBLACK-XL,0
1031YKGREY-L,0
1031YKGREY-M,0
1031YKGREY-S,0
1031YKGREY-XL,0
1032YKBLUE-L,0
1032YKBLUE-M,0
1032YKBLUE-S,0
1032YKBLUE-XL,0
1033YKMUSTARD-3XL,0
1033YKMUSTARD-L,0
1033YKMUSTARD-M,0
1033YKMUSTARD-S,0
1033YKMUSTARD-XL,0
1033YKMUSTARD-XS,0
1033YKMUSTARD-XXL,0
1034YKTEAL-3XL,3
1034YKTEAL-4XL,1
1034YKTEAL-5XL,1
1034YKTEAL-L,6
1034YKTEAL-M,17
1034YKTEAL-S,7
1034YKTEAL-XL,0
1034YKTEAL-XS,1
1034YKTEAL-XXL,10
1035YKMAROON-L,0
1035YKMAROON-M,0
1035YKMAROON-S,1
1035YKMAROON-XL,0
1035YKMAROON-XXL,0
1036YKBLUE-XL,-1
1037DPT19WHITE-3XL,75
1037DPT19WHITE-4XL,29
1037DPT19WHITE-5XL,75
1037DPT19WHITE-6XL,2
1037DPT19WHITE-7XL,0
1037DPT19WHITE-8XL,1
1037DPT19WHITE-L,2
1037DPT19WHITE-M,2
1037DPT19WHITE-S,75
1037DPT19WHITE-XL,1
1037DPT19WHITE-XS,31
1037DPT19WHITE-XXL,21
1037YKBLUE-3XL,87
1037YKBLUE-4XL,37
1037YKBLUE-5XL,154
1037YKBLUE-6XL,4
1037YKBLUE-7XL,1
1037YKBLUE-8XL,2
1037YKBLUE-L,7
1037YKBLUE-M,4
1037YKBLUE-S,81
1037YKBLUE-XL,4
1037YKBLUE-XS,36
1037YKBLUE-XXL,29
1038YKBLUE-L,0
